key,message,comment,context
"${label} move lines",${label}移動線,,
%,%,,
"%d account treated successfully,",%dアカウントが正常に処理されました,,
"%d accounts treated successfully,",%d個のアカウントが正常に処理されました,,
"%d anomalies.",%d個の異常,,
"%d anomaly.",%d異常,,
"%d invoice treated successfully,",%d件の請求書が正常に処理されました,,
"%d invoices treated successfully,",%d件の請求書が正常に処理されました,,
"%d moves couldn't be deleted or archived, please check the logs.",%d個のムーブを削除またはアーカイブできませんでした。ログを確認してください,,
"%d reimbursement created successfully,",%d件の払い戻しが作成されました,,
"%d reimbursements created successfully,",%d件の払い戻しが作成されました,,
"%s : A customer account is missing for the company %s",%s:会社%sの顧客アカウントがありません,,
"%s : A header record is missing in the file %s",%s:ファイル%sにヘッダレコードがありません,,
"%s : A record is missing in the file %s",%s:ファイル%sにレコードがありません,,
"%s : A supplier account is missing for the company %s",%s:会社%sの仕入先アカウントがありません,,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s:レコード%s、会社%sの異常を検出しました (レコードに%s文字がありません:%s)",,
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s:送信者の異常を検出しました (値が数値ではありません:%s)",,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s:受信機の異常を検出しました (値が数値ではありません:%s)",,
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s:合計に異常が検出されました (値が数値ではありません:%s)",,
"%s : Bank statement line %s amount can't be null",%s:銀行取引明細書明細%sの金額はNULLにできません,,
"%s : Caution - You can't pay for an amount higher than selected invoices",%s:注意-選択した請求書よりも高い金額を支払うことはできません,,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.",%s:注意、支払入力nb%s、帰属額合計が顧客の支払額を超えています,,
"%s : Computed balance and Ending Balance must be equal",%s:計算された残高と期末残高は等しくなければなりません,,
"%s : Currency missing",%s:通貨がありません,,
"%s : Error : You must configure a company for the batch configurator %s",%s:エラー:バッチ構成プログラム%sの会社を構成する必要があります,,
"%s : Error : You must configure a credit note interface sequence for the company %s",%s:エラー:会社%sのクレジットメモインターフェイスシーケンスを構成する必要があります,,
"%s : Error : You must configure a direct debit date for the %s batch configuration",%s:エラー:%sバッチ構成の自動引き落とし日を構成する必要があります,,
"%s : Error : You must configure a due date for the batch configurator %s",%s:エラー:バッチ構成プログラム%sの期限を構成する必要があります,,
"%s : Error : You must configure a journal for the company %s and a payment mode %s",%s:エラー:会社%sの仕訳と支払モード%sを構成する必要があります,,
"%s : Error : You must configure a purchase interface sequence for the company %s",%s:エラー:会社%sの購入インターフェイスシーケンスを構成する必要があります,,
"%s : Error : You must configure a reconciliation sequence for the company %s",%s:エラー:会社%sの調整シーケンスを構成する必要があります,,
"%s : Error : You must configure a sale interface sequence for the company %s",%s:エラー:会社%sの販売インターフェイスシーケンスを構成する必要があります,,
"%s : Error : You must configure a sequence for the company %s and a payment mode %s",%s:エラー:会社%sのシーケンスと支払いモード%sを構成する必要があります,,
"%s : Error : You must configure a treasury interface sequence for the company %s",%s:エラー:会社%sの財務インターフェイスシーケンスを構成する必要があります,,
"%s : Error : You must configure a weight table in general configuration",%s:エラー:一般構成では重量テーブルを構成する必要があります,,
"%s : Error : You must configure an account export sequence for the company %s",%s:エラー:会社%sのアカウントExportシーケンスを構成する必要があります,,
"%s : Error : You must configure an account reporting sequence for the company %s",%s:エラー:会社%sのアカウントレポートシーケンスを構成する必要があります,,
"%s : Error : You must configure an analytic report sequence for the company %s",%s:エラー:会社%sの分析レポートシーケンスを構成する必要があります,,
"%s : Error : You must configure an export type for the batch configurator %s",%s:エラー:バッチ構成プログラム%sのExportタイプを構成する必要があります,,
"%s : Error : You must, at first, create timetable lines for the timetable %s",%s:エラー:最初に時刻表%sの時刻表行を作成する必要があります,,
"%s : Error detected during CFONB file's writing : %s",%s:CFONBファイルの書き込み中にエラーが検出されました:%s,,
"%s : Error generated on invoice creation shift to irrecoverable %s",%s:請求書作成時にエラーが生成されました。%sはリカバリできません,,
"%s : Invoice's type is not filled %s",%s:請求書のタイプが入力されていません%s,,
"%s : Invoicing address missing",%s:請求先アドレスがありません,,
"%s : Letter template missing for debt recovery matrix %s (Partner %s, Level %s).","%s:債務回復マトリックス%sにレターテンプレートがありません (パートナー%s、レベル%s) ",,
"%s : MoveLine amount is not equals with bank statement line %s",%s:MoveLine金額が銀行取引明細書明細%sと等しくありません,,
"%s : No payment mode found for the code %s and the company %s",%s:コード%sと会社%sの支払いモードが見つかりません,,
"%s : No timetable nor invoice found for the direct debit number : %s",%s:自動引き落としNo.の時刻表も請求書も見つかりません:%s,,
"%s : One or several detail records are missing in the file %s",%s:ファイル%sに1つまたは複数の詳細レコードがありません,,
"%s : Payment condition missing",%s:支払い条件がありません,,
"%s : Payment mode missing",%s:支払いモードがありません,,
"%s : Payment mode must be filled either in the partner or in the company configuration.",%s:パートナーまたは会社の構成のいずれかで支払いモードを入力する必要があります,,
"%s : Payment voucher n° %s, the paid amount should be positive",%s:支払伝票No.%s、支払額は正である必要があります,,
"%s : Please define an email template for cash register (company: %s)","%s:キャッシュレジスタ (会社:%s) の電子メールテンプレートを定義してください",,
"%s : Please, configure a currency for the company %s",%s:会社%sの通貨を構成してください,,
"%s : Please, configure a sequence for the customer invoices and the company %s",%s:顧客請求書と会社%sのシーケンスを設定してください,,
"%s : Please, configure a sequence for the customer refunds and the company %s",%s:顧客払戻および会社%sの順序を構成してください,,
"%s : Please, configure a sequence for the supplier invoices and the company %s",%s:仕入先請求書と会社%sのシーケンスを設定してください,,
"%s : Please, configure a sequence for the supplier refunds and the company %s",%s:仕入先払戻および会社%sの順序を構成してください,,
"%s : Reconciliation %s: Reconciliated amount (%s) must be lower or equal to remaining amount to reconciliate from moves lines.","%s:調整%s:移動明細から調整するには、調整済金額 (%s) が残高以下である必要があります",,
"%s : Reconciliation %s: Reconciliated amount must be different than zero. (Debit %s account %s - Credit %s account %s)",%s:調整%s:調整額は0以外でなければなりません。(借方%s勘定科目%s-貸方%s勘定科目%s),,
"%s : Reconciliation : Move line accounts are not compatible.",%s:調整:移動明細勘定科目に互換性がありません,,
"%s : Reconciliation : You must fill concerned moves lines.",%s:調整:関連する移動明細を入力する必要があります,,
"%s : The invoice %s has no accounting document whose the remainder to be paid is positive",%s:請求書%sには、支払残がプラスの会計文書がありません,,
"%s : The total amount for the following record isn't correct (file %s) :\n %s","%s:次のレコードの合計金額が正しくありません (ファイル%s) :\n%s",,
"%s : There's no line to pay.",%s:支払う行がありません,,
"%s : There's no partner selected",%s:パートナーが選択されていません,,
"%s : You must add a journal and a treasury account into payment mode.",%s:仕訳と財務勘定科目を支払モードに追加する必要があります,,
"%s : You must add an amount paid.",%s:支払われた金額を追加する必要があります,,
"%s : You must configure CFONB for the company %s",%s:会社%sのCFONBを構成する必要があります,,
"%s : You must configure a Bank Address for the RIB %s of third-payer %s",%s:第三支払者%sのRIB%sの銀行アドレスを構成する必要があります,,
"%s : You must configure a Bank Code for the RIB %s of third-payer %s",%s:第三支払者%sのRIB%sの銀行コードを構成する必要があります,,
"%s : You must configure a CFONB TIP and cheque TIP code for the company %s","%s:会社%sのCFONB TIPおよび小切手TIPコードを構成する必要があります",,
"%s : You must configure a CFONB TIP code for the company %s","%s:会社%sのCFONB TIPコードを構成する必要があります",,
"%s : You must configure a CFONB code register end for the company %s",%s:会社%sのCFONBコードレジスタの終端を構成する必要があります,,
"%s : You must configure a CFONB detail code register for the company %s",%s:会社%sのCFONB詳細コードレジスタを設定する必要があります,,
"%s : You must configure a CFONB direct debit code for the company %s",%s:会社%sのCFONB自動借方コードを構成する必要があります,,
"%s : You must configure a CFONB format direct debit's export's folder for the company %s",%s:会社%sのCFONB形式の口座振替Exportのフォルダを構成する必要があります,,
"%s : You must configure a CFONB format reimbursement's export's folder for the company %s",%s:会社%sのCFONB形式の償還用Exportのフォルダを構成する必要があります,,
"%s : You must configure a CFONB header code register for the company %s",%s:会社%sのCFONBヘッダコードレジスタを設定する必要があります,,
"%s : You must configure a CFONB internet payment code for the company %s",%s:会社%sのCFONBインターネット支払いコードを構成する必要があります,,
"%s : You must configure a CFONB receiver code register for the company %s",%s:会社%sのCFONB受信者コードレジスタを設定する必要があります,,
"%s : You must configure a CFONB rejected direct debit code for the company %s",%s:CFONBが却下した会社%sの自動借方コードを構成する必要があります,,
"%s : You must configure a CFONB sender code register for the company %s",%s:会社%sのCFONB送信者コードレジスタを設定する必要があります,,
"%s : You must configure a CFONB sender's name/corporate name for the company %s",%s:会社%sのCFONB送信者の名前/会社名を構成する必要があります,,
"%s : You must configure a CFONB sender's number for the company %s",%s:会社%sのCFONB送信者No.を構成する必要があります,,
"%s : You must configure a CFONB total code register for the company %s",%s:会社%sのCFONB合計コードレジスタを設定する必要があります,,
"%s : You must configure a CFONB unpaid TIP code for the company %s",%s:会社%sのCFONB未払いTIPコードを構成する必要があります,,
"%s : You must configure a CFONB unpaid direct debit code fir the company %s",%s:会社%sのCFONB未払口座振替コードを構成する必要があります,,
"%s : You must configure a Cash journal type for the company %s",%s:会社%sの現金仕訳タイプを構成する必要があります,,
"%s : You must configure a Credit note journal type for the company %s",%s:会社%sのクレジットノート仕訳タイプを構成する必要があります,,
"%s : You must configure a Customer credit note journal for the company %s",%s:会社%sの顧客クレジットノート仕訳を構成する必要があります,,
"%s : You must configure a Misc. Operation journal for the company %s",%s:その他を構成する必要があります。会社%sのオペレーションジャーナル,,
"%s : You must configure a Purchase journal type for the company %s",%s:会社%sの購入ジャーナルタイプを構成する必要があります,,
"%s : You must configure a RIB for batch's configurator %s",%s:バッチのConfigurator%sのRIBを構成する必要があります,,
"%s : You must configure a RIB for payment timetable %s",%s:支払予定表%sのRIBを構成する必要があります,,
"%s : You must configure a RIB for the partner %s",%s:パートナー%sのRIBを構成する必要があります,,
"%s : You must configure a Reimbursement journal for the company %s",%s:会社%sの精算ジャーナルを構成する必要があります,,
"%s : You must configure a Sales journal for the company %s",%s:会社%sの販売ジャーナルを構成する必要があります,,
"%s : You must configure a Sales journal type for the company %s",%s:会社%sの売上仕訳タイプを構成する必要があります,,
"%s : You must configure a Sort Code for the RIB %s of third-payer %s",%s:第3支払い者%sのRIB%sの並べ替えコードを構成する必要があります,,
"%s : You must configure a Supplier credit note journal for the company %s",%s:会社%sの仕入先クレジットノート仕訳を構成する必要があります,,
"%s : You must configure a Supplier purchase journal for the company %s",%s:会社%sの仕入先購買仕訳を構成する必要があります,,
"%s : You must configure a TIP and cheque TIP payment rejects path for the import file for the company %s",%s:会社%sのImportファイルのTIP支払拒否パスを構成して小切手TIP支払拒否パスを設定する必要があります,,
"%s : You must configure a TIP and cheque TIP payment's import path for the company %s",%s:会社%sのTIP支払のImportパスを構成し、小切手で振り出す必要があります,,
"%s : You must configure a TIP and cheque TIP temporary import path for the company %s",%s:会社%sのTIPおよび小切手TIP一時Import・パスを構成する必要があります,,
"%s : You must configure a TIP and cheque TIP temporary path for the payment reject's file for the company %s",%s:会社%sの支払拒否ファイルのTIPおよび小切手TIP一時パスを構成する必要があります,,
"%s : You must configure a cash difference account for the company %s",%s:会社%sの現金差異勘定を構成する必要があります,,
"%s : You must configure a cheque rejection sequence for the company %s",%s:会社%sの小切手拒否シーケンスを構成する必要があります,,
"%s : You must configure a clearance sequence of the overpayments for the company %s",%s:会社%sの過払いの精算順序を構成する必要があります,,
"%s : You must configure a company for the fiscal year %s",%s:会計年度%sの会社を構成する必要があります,,
"%s : You must configure a customer account for the company %s",%s:会社%sの顧客アカウントを構成する必要があります,,
"%s : You must configure a debt recovery tab for the company %s",%s:会社%sの債務回復タブを構成する必要があります,,
"%s : You must configure a direct debit payment mode for the company %s",%s:会社%sの自動引き落とし支払モードを構成する必要があります,,
"%s : You must configure a direct debit reject sequence\n for the company %s for the journal %s","%s:会社%sの仕訳%sに対して、口座引落し拒否シーケンスを\n構成する必要があります",,
"%s : You must configure a doubtful customer account for the company %s",%s:会社%sの疑わしい顧客アカウントを設定する必要があります,,
"%s : You must configure a factor credit account for the company %s",%s:会社%sのファクタクレジットアカウントを構成する必要があります,,
"%s : You must configure a factor debit account for the company %s",%s:会社%sのファクタ借方勘定を構成する必要があります,,
"%s : You must configure a file name for the export of move file for the company %s",%s:会社%sのムーブファイルをExportするためのファイル名を構成する必要があります,,
"%s : You must configure a financial account for then company %s",%s:会社%sの財務アカウントを構成する必要があります,,
"%s : You must configure a number's account for the RIB %s of third-payer %s",%s:第三支払者%sのRIB%sのNo.のアカウントを構成する必要があります,,
"%s : You must configure a path for the reimbursement rejects import's temporary file for the company %s",%s:会社%sのImportの一時ファイルを償還拒否するためのパスを構成する必要があります,,
"%s : You must configure a path for the reimbursements rejects import's file for the company %s",%s:会社%sの精算拒否Importのファイルのパスを構成する必要があります,,
"%s : You must configure a path for the reject's file for the company %s",%s:会社%sの却下ファイルのパスを設定する必要があります,,
"%s : You must configure a path for the temporary reject's file for the company %s",%s:会社%sの一時却下ファイルのパスを構成する必要があります,,
"%s : You must configure a payment mode after reject for the company %s",%s:会社%sの却下後に支払いモードを設定する必要があります,,
"%s : You must configure a receipt number (Payment entry) for the company %s","%s:会社%sの受領No. (支払入力) を構成する必要があります",,
"%s : You must configure a reimbursement account for the company %s",%s:会社%sの精算アカウントを構成する必要があります,,
"%s : You must configure a reimbursement sequence for the company %s",%s:会社%sの償還順序を構成する必要があります,,
"%s : You must configure a reject import letter template for the company %s",%s:会社%sの拒否Importレターテンプレートを構成する必要があります,,
"%s : You must configure a reject/return reason's code's list relating to Card cashing, Direct debit and TIP in general configuration",%s:一般的な構成で、カードのキャッシング、自動引き落とし、およびTIPに関連する拒否/返却理由コードのリストを構成する必要があります,,
"%s : You must configure a rejects journal for the company %s",%s:会社%sの却下仕訳を構成する必要があります,,
"%s : You must configure a reported balance journal for the company %s",%s:会社%sの報告済み残高仕訳を構成する必要があります,,
"%s : You must configure a shift to irrecoverable's reason for the company %s",%s:会社%sのリカバリ不可能な理由へのシフトを構成する必要があります,,
"%s : You must configure a shifting reason (debt more than six months) for the company %s","%s:会社%sのシフト理由 (6カ月以上の負債) を構成する必要があります",,
"%s : You must configure a shifting reason (debt more than three months) for the company %s","%s:会社%sのシフト理由 (3カ月以上の負債) を構成する必要があります",,
"%s : You must configure a supplier account for the company %s",%s:会社%sの仕入先アカウントを設定する必要があります,,
"%s : You must configure a tax standard rate for the company %s",%s:会社%sの標準税率を構成する必要があります,,
"%s : You must configure a year closure account for the company %s",%s:会社%sの年度終了アカウントを構成する必要があります,,
"%s : You must configure a year opening account for the company %s",%s:会社%sの年開始アカウントを構成する必要があります,,
"%s : You must configure account clearance for the company %s",%s:会社%sのアカウントクリアランスを構成する必要があります,,
"%s : You must configure account information for the company %s",%s:会社%sのアカウント情報を構成する必要があります,,
"%s : You must configure account's information for the company %s",%s:会社%sのアカウント情報を構成する必要があります,,
"%s : You must configure an advance payment account for the company %s",%s:会社%sの前払金アカウントを構成する必要があります,,
"%s : You must configure an employee account for the company %s",%s:会社%sの従業員アカウントを構成する必要があります,,
"%s : You must configure an irrevocable doubtful account for the company %s",%s:会社%sの取り消し不能の貸倒引当金を構成する必要があります,,
"%s : You must configure an irrevocable journal for the company %s",%s:会社%sの取り消し不可仕訳を構成する必要があります,,
"%s : You must configure an overpayment account clearance journal for the company %s",%s:会社%sの過払いアカウント清算仕訳を構成する必要があります,,
"%s : You must configure shit to irrecoverable sequence for the company %s",%s:shitを会社%sのリカバリ不可能なシーケンスに構成する必要があります,,
"%s account not found in move %s",移動%sに%sアカウントが見つかりません,,
"%s has not exaclty the same internal companies as %s.",%sは%sと同じ社内カンパニーではありません,,
"(Debit %s account %s amount %s - Credit %s account %s amount %s)",(借方%s勘定科目%s金額%s-貸方%s勘定科目%s金額%s),,
"* %s Account(s) situation(s) treated","* %sアカウントの状況を処理しました",,
"* %s Invoice(s) treated","* %s処理済み請求書",,
"1 Month",1か月,,
"1 Year",1年,,
"2 Months",2か月,,
"3 Months",3か月,,
"6 Months",6か月,,
80,80,,
"<span class='label label-important'>Payment vouchers on invoice setting is disabled.</span>","<span class='label label-important'> 請求書設定の支払伝票が無効になっています。</span></span>",,
"A cancel reason must be selected",キャンセル理由を選択する必要があります,,
"A chart or chart structure of accounts already exists, please delete the hierarchy between accounts in order to import a new chart.",勘定科目のチャートまたはチャート構造はすでに存在します。新規チャートをImportするには、勘定科目間の階層を削除してください,,
"A large number of recording has been fetched in this period. Edition can take a while. Do you want to proceed ?",この期間に多くの記録が取られた。編集には時間がかかります。続行しますか?,,
"A tax line is missing",税金明細が欠落しています,,
"A transmitted or a accounted subrogation release already exist for the invoices %s.",請求書%sに対して送信済または計上済の代位リリースがすでに存在します,,
"Acc. Clearance","Acc. Clearance",,
Account,アカウント,,
"Account Chart",勘定科目チャート,,
"Account Invoice Summary",勘定科目請求書要約,,
"Account List",アカウントリスト,,
"Account Managements",アカウント管理,,
"Account Type",勘定科目タイプ,,
"Account balances from all accounts situations (%s) has been updated.","すべてのアカウント状況 (%s) のアカウント残高が更新されました",,
"Account balances of %s accounting situation has not been updated, you must run the contact account batch update.",%s会計状況の勘定残高は更新されていません。連絡先勘定バッチ更新を実行する必要があります,,
"Account calculation configuration",アカウント計算の構成,,
"Account chart",勘定科目チャート,,
"Account clearance",アカウントの承認,,
