key,message,comment,context
"Access config",アクセス構成,,
"Access config imported successfully",構成へのアクセスが正常にImportされました,,
"Action to perform",実行するアクション,,
Anonymize,匿名化,,
"Anonymize data",データの匿名化,,
App,アプリ,,
"Application Config",アプリケーション構成,,
Apps,アプリ,,
"Apps installed successfully",アプリケーションが正常にインストールされました,,
"Apps management",アプリケーション管理,,
"Apps refreshed successfully",アプリケーションが正常に更新されました,,
"Are you sure wants to anonymize data ?.",データを匿名化しますか?,,
"Are you sure wants to import demo data for '${name}'?",'${name}'のデモデータをImportしますか?,,
"Are you sure wants to install '${name}'?",'${name}'をインストールしますか?,,
"Are you sure wants to uninstall '${name}'?",'${name}'をアンインストールしますか?,,
Backup,バックアップ,,
"Backup Created",作成されたバックアップ,,
"Backup File",バックアップファイル,,
"Backup On",バックアップOn,,
"Backup Restore Error",バックアップリストアエラー,,
"Backup Restored",バックアップのリストア,,
"Bad header row:",不正なヘッダ行:,,
"Bad import file",Importファイルが正しくありません,,
"Bulk install",一括インストール,,
CSV,,,
"CSV Backup Fetch Limit",CSVバックアップフェッチ制限,,
Cancelled,キャンセル済み,,
Code,コード,,
Comment,コメント,,
Condition,条件,,
ConditionParams,条件パラメータ,,
Configure,構成,,
Create,作成,,
"Create Backup",バックアップの作成,,
"Create file",ファイルを作成,,
Data,データ,,
"Data config line",データ設定行,,
Delete,削除,,
"Demo data loaded",デモデータがロードされました,,
"Demo data loaded successfully",デモデータが正常にロードされました,,
"Depends on",依存,,
Description,説明,,
Details,詳細,,
Draft,ドラフト,,
"Error in import. Please check log.",Import中にエラーが発生しました。ログを確認してください,,
"Error in import: %s. Please check the server log",,,
"Error in refreshing app",アプリケーションの更新中にエラーが発生しました,,
Excel,エクセル,,
Export,Export,,
"Export file",ファイルをExport,,
"Export format",Export形式,,
Exports,Export,,
Field,フィールド,,
"Field permission",フィールド権限,,
"Fields to delete",削除するフィールド,,
"Fields to export",Exportするフィールド,,
File,ファイル,,
"Group Menu Assistant",グループメニューアシスタント,,
Groups,グループ,,
"Groups not found: %s",グループが見つかりません:%s,,
"Hide If",次の場合に非表示,,
Image,イメージ,,
Import,Import,,
"Import ID",ImportID,,
"Import access config",アクセス構成のImport,,
"Import completed successfully",Importが正常に完了しました,,
"Import date",Import日,,
"Import demo data",デモデータのImport,,
"Import permissions",Import権限,,
"Import roles",役割のImport,,
"Imported from",からのImport,,
"In Progress",進行中,,
"Init data loaded",初期化データがロードされました,,
Install,インストール,,
"Install order",インストール順序,,
Installed,インストール済み,,
Language,言語,,
Lines,,,
Log,ログ,,
"Menu not found: %s",メニューが見つかりません:%s,,
Menus,メニュー,,
"Meta Permissions",メタアクセス権,,
Model,モデル,,
"Model select",モデル選択,,
"Modules contains in the app",アプリケーションに含まれるモジュール,,
Name,名称,,
"No application language set. Please set 'application.locale' property.","アプリケーション言語が設定されていません。「アプリケーション。ロケール 」 プロパティを設定してください",,
"No configuration required",構成は不要,,
"No header row found",ヘッダ行が見つかりません,,
"No record found for: %s",%sのレコードが見つかりません,,
None,なし,,
Object,オブジェクト,,
"Object data anonymize",オブジェクトデータの匿名化,,
"Object data config",オブジェクトデータ設定,,
"Object data config export",オブジェクトデータ設定の書き出し,,
"Object data config exports",オブジェクトデータ設定の書き出し,,
"Object not found: %s",オブジェクトが見つかりません:%s,,
Objects,オブジェクト,,
Path,パス,,
"Path Field",パスフィールド,,
"Permission Assistant",アクセス許可アシスタント,,
Query,クエリ,,
Query/path,クエリ/パス,,
Read,読み取り,,
"Readonly If",読み取り専用の場合,,
Record,レコード,,
"Record name",レコード名,,
"Record select",レコード選択,,
"Refresh Apps",アプリケーションの更新,,
"Relative Date",相対日付,,
Replace,置換,,
Restore,復元,,
"Restore Backup",バックアップの復元,,
"Restored On",復元日,,
"Return to draft status",ドラフトステータスに戻る,,
Roles,役割,,
"Roles imported",Importされたロール,,
"Roles imported successfully",ロールが正常にImportされました,,
"Roles not found: %s",ロールが見つかりません:%s,,
"Select all",すべて選択,,
Sequence,シーケンス,,
Status,ステータス,,
"Tab name",タブ名,,
"Technical maintenance",技術的保守,,
"This app is used by %s. Please deactivate them before continue.",このアプリケーションは%sによって使用されています。続行する前にそれらを非アクティブにしてください,,
Title,タイトル,,
Type,種類,,
Uninstall,アンインストール,,
"Update Import Id",ImportIDの更新,,
User,ユーザー,,
"User access config",ユーザーアクセス構成,,
"User field",ユーザーフィールド,,
Validated,検証済み,,
Write,書き込み,,
{{$fmt('name')}},"{{$fmt ('name') }}",,
