key,message,comment,context
"%d errors occurred. Please check tracebacks for details.",%d個のエラーが発生しました。詳細についてはトレースバックを確認してください,,
"%d line successfully rejected",%d行が正常に拒否されました,,
"%d lines successfully rejected",%d行が正常に拒否されました,,
"%s : Bank statement line %s amount can't be null",%s:銀行取引明細書明細%sの金額はNULLにできません,,
"%s : Computed balance and Ending Balance must be equal",%s:計算された残高と期末残高は等しくなければなりません,,
"%s : MoveLine amount is not equals with bank statement line %s",%s:MoveLine金額が銀行取引明細書明細%sと等しくありません,,
"%s : Please configure an ICS number for the company %s.",%s:会社%sのICSNo.を構成してください,,
"%s : Please, configure a default signer for the company %s",%s:会社%sの既定の署名者を構成してください,,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s:International Credit Transfersと会社%sのシーケンスを設定してください",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s:International Direct Debitsおよび会社%sのシーケンスを構成してください",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s:International Treasury Transfersおよび会社%sのシーケンスを設定してください",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s:National Treasury Transfersおよび会社%sのシーケンスを構成してください",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s",%s:その他の銀行オーダーと会社%sのシーケンスを設定してください,,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s",%s:SEPAクレジット転送と会社%sのシーケンスを構成してください,,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s",%s:SEPAダイレクト借方および会社%sの順序を構成してください,,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s",%s:会社%sの銀行送金用に外部銀行の銀行口座を設定してください,,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s",%s:社内銀行の銀行口座を会社%sの銀行振込に設定してください,,
"%s : You must configure bank payment's information for the company %s",%s:会社%sの銀行支払情報を構成する必要があります,,
"%s bank statements get.",%s銀行取引明細書が取得されます,,
+33000000000,+33000000000,,
000000,OK,,
011000,肯定応答を受信しました,,
011001,否定応答を受信しました,,
011101,セグメントNo.に達していません,,
031001,不明な順序パラメータは無視されます,,
061001,認証署名エラー,,
061002,メッセージがEBICS準拠ではありません,,
061099,内部EBICSエラー,,
061101,同期が必要,,
090005,ダウンロードデータがありません,,
091002,サブスクライバが不明またはサブスクライバの状態が許可されません,,
091003,サブスクライバが不明です,,
091004,サブスクライバの状態が不明です,,
091005,オーダータイプは許容できません,,
091006,オーダー・タイプがサポートされていません,,
091007,加入者は、VEU管理局において参照されたオーダーの署名の認可を持っていない,,
091008,銀行キーが無効です,,
091009,セグメントサイズを超えました,,
091010,"EBICS XMLスキーマに従ったXMLが無効です",,
091011,送信されたホストIDが銀行側で不明です,,
091101,トランザクションIDが無効です,,
091102,トランザクションがキャンセルされました,,
091103,"疑わしいメッセージの再生 (時間帯/時間帯が間違っているか、nonceエラーが発生しました)",,
091104,セグメント数を超えました,,
091112,順序パラメータが無効です,,
091113,意味的にEBICSに準拠していないメッセージコンテンツ,,
091117,銀行システムは要求されたオーダーサイズをサポートしていません,,
091118,アップロード用に送信されたセグメント数が多すぎます,,
091119,顧客ごとの並列トランザクションの最大数を超えています,,
091120,ESファイルのパートナーIDが、送信者のパートナーIDと同一ではありません,,
