key,message,comment,context
"${fullName} variants",${fullName}バリアント,,
"%D : Day",%D:日,,
"%FM : Full Month (01, 02, 03, ...)","%FM:1か月 (01、02、03、 ...)",,
"%M : Month (1, 2, 3, ...)","%M:月 (1、2、3、 ...)",,
"%WY : Week number",%WY:週No.,,
"%YY : Year (17)","%YY:年 (17)",,
"%YYYY : Full Year (2017)","%YYYY年:満年 (2017年)",,
"%d anomalies.",%d個の異常,,
"%d anomaly.",%d異常,,
"%d record processed successfully,",%dレコードが正常に処理されました,,
"%d records processed successfully,",%dレコードが正常に処理されました,,
"%s : Path to Birt template is incorrect",%s:Birtテンプレートへのパスが正しくありません,,
"%s : Please, configure a currency for the company %s",%s:会社%sの通貨を構成してください,,
"%s SIRET Number required. Please configure SIRET Number for partner %s","%s SIETNo.が必要です。パートナー%sのSIETNo.を構成してください",,
"%s cell is not valid.",%sセルが無効です,,
"%s configuration file is not exist.",%s構成ファイルが存在しません,,
"%s module does not exist.",%sモジュールが存在しません,,
"%s row must not be empty.",%s行は空にできません,,
"'OneToMany' and 'ManyToMany' fields doesn't allowed","'OneToMany'および 「多数 」 フィールドは使用できません",,
"'OneToMany' field doesn't allowed",'OneToMany'フィールドは使用できません,,
(AUX),"( AUX )",,
(L'),(左),,
(LA),(LA),,
(LE),(LE),,
(LES),"( LES )",,
(LOS),"( LOS )",,
"* %s anomaly(ies)","* %s異常",,
"* %s object(s) into alarm","* %s個のオブジェクトをアラームにします",,
+33000000000,+33000000000,,
+33100000000,+33100000000,,
"- Not null :",-NULL以外:,,
"- Succeeded :",-成功:,,
00,00,,
01,01,,
02,02,,
03,03,,
04,04,,
05,05,,
06,06,,
07,07,,
08,08,,
09,09,,
1,1,,
"1 Month",1か月,,
"1 Year",1年,,
10,10,,
11,11,,
12,12,,
13,13,,
14,14,,
15,15,,
16,16,,
17,17,,
18,18,,
19,19,,
"1st Period From",第1期間:自,,
2,2,,
"2 Months",2か月,,
20,20,,
21,21,,
22,22,,
23,23,,
24,24,,
25,25,,
26,26,,
27,27,,
28,28,,
"2nd Period From",第2期間:自,,
3,3,,
"3 Months",3か月,,
4,4,,
5,5,,
6,6,,
"6 Months",6か月,,
7,7,,
8,8,,
9,9,,
"<B>%s</B> not found",<B>%s</B>が見つかりません,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa-facebook'href=' http://www.facebook.com' target='_blank'/>",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa-google'href=' http://www.google.com' target='_blank'/>",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa-linkedin'href=' http://www.linkedin.com' target='_blank'/>",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa-twitter'href=' http://www.twitter.com' target='_blank'/>",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa-youtube'href=' http://www.youtube.com' target='_blank'/>",,
"<span class='label label-warning'>Invalid IBAN</span>","<span class='label label-warning'>Invalid IBAN</span>",,
"<span class='label label-warning'>Please add an invoice address and a delivery address by default.</span>","<span class='label label-warning'> デフォルトの請求書の住所と配送先住所を追加してください。</span></span>",,
"<span class='label label-warning'>There is already a partner with this name.</span>","<span class='label label-warning'> この名前のパートナーはすでに存在します。</span></span>",,
=,=,,
"A product of type service can't be procured from stock.",サービスタイプの製品は在庫から調達できません,,
"A user with this login already exists.",このログインを持つユーザーはすでに存在します,,
"A.T.I. by default",A.T.I.デフォルトで,,
"ABC Analysis",ABC分析,,
"ABC Analysis N°",ABC解析No.,,
"ABC Analysis line",ABC分析ライン,,
"ABC Analysis lines",ABC分析線,,
"ABC Classes",ABC授業,,
"ABC class",ABCクラス,,
"ABC classes",ABC授業,,
ARTMIN,アートミン,,
AZTEC,アズテック,,
AbcAnalysis.analysisResult,解析結果,,
AbcAnalysis.company,会社名:,,
AbcAnalysis.createdBy,作成者:,,
AbcAnalysis.description,説明:,,
AbcAnalysisLine.category,種別,,
AbcAnalysisLine.class,クラス,,
AbcAnalysisLine.code,コード,,
AbcAnalysisLine.cumulatedQty,累積数量,,
AbcAnalysisLine.cumulatedWorth,累積価値,,
AbcAnalysisLine.name,名称,,
AbcAnalysisLine.qty,数量,,
AbcAnalysisLine.worth,ワース,,
"Account Number",アカウントNo.,,
"Account config",アカウント構成,,
"Account management",アカウント管理,,
"Account management list",アカウント管理リスト,,
"Account managements",アカウント管理,,
"Account moves",勘定科目の移動,,
Accounting,会計,,
"Accounting Exports",会計Export,,
"Accounting configuration",アカウンティング設定,,
"Accounting family",会計ファミリ,,
"Accounting situation",経理状況,,
"Accounting situations",会計状況,,
"Accounts Configurations",アカウント構成,,
"Accounts configuration",アカウントの構成,,
Action,アクション,,
"Action does not exists or invalid for the object(%s)","アクションが存在しないか、オブジェクト (%s) に対して無効です",,
"Action name cannot be null.",アクション名はNULLにできません,,
Actions,アクション,,
"Activate bar code generation for products",製品のバーコード生成を有効にする,,
"Activate sending email",電子メールの送信を有効にする,,
Activation,アクティベーション,,
Active,アクティブ,,
"Active Team",アクティブなチーム,,
"Active company",活発な企業,,
"Active users",アクティブユーザー,,
Activities,アクティビティ,,
"Add Guests",ゲストの追加,,
Additionnal,追加,,
Address,住所,,
"Address certified by QAS engine",QASエンジンによって認定されたアドレス,,
"Address details",住所の詳細,,
"Address list",アドレス一覧,,
"Address precisions",アドレスの精度,,
Addresses,住所,,
"Addresses validation",アドレス検証,,
"Adjust History",履歴の調整,,
"Adjust period",期間の調整,,
Adjusting,調整,,
Administration,管理,,
"Advance Fields Export",詳細フィールドのExport,,
"Advanced Export",高度なExport,,
"Advanced export",高度なExport,,
"Advanced export line",高度なExportライン,,
"Advanced export lines",高度な書き出しライン,,
"Advanced exports",高度なExport,,
"Advanced import",高度な読み込み,,
"Advanced imports",高度なImport,,
"Advanced synchronization",高度な同期,,
Alarm,アラーム,,
"Alarm Engine",アラームエンジン,,
"Alarm Engine %s",アラームエンジン%s,,
"Alarm Message",アラームメッセージ,,
"Alarm Messages",アラームメッセージ,,
"Alarm batch",アラームバッチ,,
"Alarm batches",アラームバッチ,,
"Alarm engine",警報エンジン,,
"Alarm engine batch",アラームエンジンバッチ,,
"Alarm engine batches",アラームエンジンバッチ,,
"Alarm engines",アラームエンジン,,
Alarms,アラーム,,
"Alarms report :",アラームレポート:,,
"All Alarms",すべてのアラーム,,
"All Clients",すべてのクライアント,,
"All Countries",すべての国,,
"All Employees",全従業員,,
"All Enterprises",すべての企業,,
"All Individuals",すべての個人,,
"All Mailing lists",すべてのメーリングリスト,,
"All Messages",すべてのメッセージ,,
"All Prospects",すべての見込み客,,
"All Suppliers",すべての仕入先,,
"All day",終日,,
"All events",すべてのイベント,,
"All my calendars",すべての予定表,,
"All tasks",すべてのタスク,,
"All teams",全チーム,,
"Allow notifications to be sent by email",通知を電子メールで送信できるようにする,,
"Allow to force purchases quantities",購買数量を強制する,,
"Allow to force sales quantities",販売数量を強制する,,
"Alpha-2 code (ISO)","Alpha-2コード ( ISO )",,
"Alpha-3 code (ISO)","アルファ-3コード ( ISO )",,
"Always A.T.I.",いつもA.T.I,,
"Always W.T.",常にW.T,,
Amount/%,金額/%,,
Analytics,分析,,
Analyzing,解析中,,
Anomalies,異常,,
Anomaly,異常,,
"App base",アプリケーションベース,,
"Applicable dates",適用日,,
Application,アプリケーション,,
"Application begin date",アプリケーションの開始日,,
"Application end date",アプリケーション終了日,,
"Application start Date",アプリケーションの開始日,,
"Application type",アプリケーションタイプ,,
Apply,適用,,
"Apply modifications to next tasks",次のタスクへの変更の適用,,
"Apply on",適用先,,
April,4月,,
Archived,アーカイブ済み,,
"Are you sure wants to replace ?",置き換えますか?,,
"Are you sure you want run the analysis ? It can take a long time.",解析を実行しますか?時間がかかる場合があります,,
"Are you sure you want to start the import?",読み込みを開始しますか?,,
"Area name",エリア名,,
"Article dimension",アーティクル次元,,
"Article volume",成形品体積,,
Artmin,アートミン,,
Ascending,昇順,,
"Assigned to",割り当て先,,
"Assigned to user",ユーザーに割り当て済み,,
"At least one iban code you have entered for this partner is not valid. Here is the list of invalid codes : %s",このパートナーに対して入力した1つ以上のibanコードが無効です。無効なコードのリスト:%s,,
"Attached files",添付ファイル,,
"Attachment directory OR Application source does not exist",添付ファイルディレクトリまたはアプリケーションソースが存在しません,,
Attachments,添付ファイル,,
"Attachments must be in zip format",添付ファイルはzip形式である必要があります,,
Attendees,出席者,,
Attributes,属性,,
Attrs,属性,,
August,8月,,
"Authentication failed.",認証に失敗しました,,
"Authority Partner",オーソリティパートナー,,
Authorization,承認,,
"Authorization details",承認の詳細,,
"Auto Import",自動Import,,
Availability,可用性,,
Available,使用可能,,
"Average Price",平均価格,,
BBAN,ババ,,
"BBan Key",BBanキー,,
BIC,BIC,,
"BIC (Bank Identifier)","BIC (銀行識別子)",,
Back,戻る,,
Balance,残高,,
Bank,銀行,,
"Bank Code",銀行コード,,
"Bank Details",銀行詳細,,
"Bank Details list","[銀行の詳細] リスト",,
"Bank Identifier Code",銀行識別コード,,
"Bank Identifier Codes",銀行識別子コード,,
"Bank Name",銀行名,,
"Bank Statement lines",銀行取引明細書明細,,
"Bank accounts",銀行口座,,
"Bank card",銀行カード,,
"Bank details",銀行の詳細,,
"Bank details tree",銀行詳細ツリー,,
"Bank order config.",銀行オーダーの設定,,
"Bank payment config",銀行支払設定,,
Barcode,バーコード,,
"Barcode Type",バーコードタイプ,,
"Barcode format not supported",バーコード形式がサポートされていません,,
"Barcode type configuration",バーコードタイプの設定,,
