key,message,comment,context
"Accept Order",オーダーの承諾,,
"All open ticket",すべてのオープンチケット,,
"All tickets",すべてのチケット,,
Announcement,お知らせ,,
"App Business Support",アプリケーションビジネスサポート,,
"Assigning to the customer",顧客への割当,,
"Assigning to the provider",プロバイダに割り当てる,,
Assignment,割り当て,,
Characteristics,特徴,,
Configuration,構成,,
Content,内容,,
Customer,顧客,,
Date,日付,,
"Financial Data",財務データ,,
"In production",本番環境で,,
"In progress",進行中,,
"In test",テスト中,,
"Internal Description",内部説明,,
"My Tickets",私のチケット,,
"New Ticket",新規チケット,,
"New tasks",新しいタスク,,
"On hold",保留中,,
"Order Accepted",受注済,,
"Order Proposed",提案されたオーダー,,
Private,プライベート,,
"Production server date",本番サーバの日付,,
Project,プロジェクト,,
Project.version,バージョン,,
Provider,プロバイダ,,
"Provider Company",プロバイダ会社,,
Status,ステータス,,
Subject,件名,,
"Target version",ターゲットバージョン,,
"Task Tree",タスクツリー,,
"Task assigned to",に割り当てられたタスク,,
"Task assigned to the client",クライアントに割り当てられたタスク,,
"Task assigned to the provider",プロバイダに割り当てられているタスク,,
"Task date",タスク日付,,
Tasks,タスク,,
"Tasks to be treated by customer",顧客が対応すべき業務,,
"Tasks to be treated by provider",プロバイダが処理するタスク,,
"Testing server date",テストサーバーの日付,,
Ticket,チケット,,
"Ticket associated",チケット関連,,
Tickets,チケット,,
Title,タイトル,,
"Tree view",ツリービュー,,
"Update to invoice",請求書の更新,,
"Validated Timesheet lines",検証済みタイムシート行,,
