key,message,comment,context
"ABS portal",ABSポータル,,
"App Portal",アプリケーションポータル,,
"Assign to customer",顧客への割当,,
"Assign to supplier",仕入先への割当,,
"Awaiting invoices",請求書待ち,,
"Can confirm online",Onラインで確認できます,,
"Can pay online",Onラインでの支払いが可能,,
Catalog,カタログ,,
Code,コード,,
"Company tickets",会社のチケット,,
"Customer helpdesk",カスタマヘルプデスク,,
"Customer tickets",お客様チケット,,
Delivery,配送,,
"Display product catalog",製品カタログの表示,,
"Electronic signature",電子署名,,
"External portal",外部ポータル,,
Helpdesk,ヘルプデスク,,
Invoicing,請求,,
"Last delivery",最終配送,,
"Last order",ラストオーダー,,
"Late tickets",遅延チケット,,
"Manage delivery",配信の管理,,
"Manage invoices",請求書の管理,,
"Manage projects",プロジェクトの管理,,
"Manage sale orders",受注の管理,,
"Manage tickets",チケットの管理,,
Modules,モジュール,,
Months,月,,
"My deliveries",私の配達,,
"My invoices",私の請求書,,
"My projects",私のプロジェクト,,
"My quotations",私の引用,,
"My refund",私の返金,,
"My reversions",私のバージョン,,
"My space",私のスペース,,
"My tickets",私のチケット,,
Name,名称,,
"New tasks",新しいタスク,,
"Next delivery",次の配信,,
None,なし,,
"Online payment method",オンライン決済方法,,
"Online payment methods",オンライン決済方法,,
Order,オーダー,,
"Orders in progress",進行中のオーダー,,
"Overdue invoices",延滞請求書,,
Password,パスワード,,
"Planned deliveries",計画搬送,,
Portal,ポータル,,
Project,プロジェクト,,
Projects,プロジェクト,,
"Resolved tickets",解決済みチケット,,
"Sale order",販売オーダー,,
Sum,合計,,
"Sum of last 4 months invoices",過去4か月の請求書の合計,,
"Tasks due",タスクの期限,,
"Tasks in progress",進行中のタスク,,
"Total projects",プロジェクトの合計,,
"Total remaining",残りの合計,,
"User is not linked with any partner. Please disconnect.",ユーザーはどのパートナーともリンクされていません。切断してください,,
chart,図表,,
value:Portal,ポータル,,
