key,message,comment,context
Action,アクション,,
"Action %s has no Batch implementation.",アクション%sにはバッチ実装がありません,,
Actions,アクション,,
Activate,アクティブ化,,
"Activated By",アクティブ化者,,
"Activation date",アクティベーション日,,
Active,アクティブ,,
"Additional Benefit Management",追加のメリット管理,,
"Additional benefit",付加給付,,
"Additional benefit lines",その他の福利厚生,,
"Additional benefit management",付加給付管理,,
Advanced,詳細設定,,
"Amendment management",修正管理,,
"Analytic distribution template",分析分布テンプレート,,
"Analytic move lines",解析移動線,,
Analytics,分析,,
"App contract",アプリケーション契約,,
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","契約の開始日に仮アクティベーションが発生することに注意してください。         date ${currentContractVersion.supposedActivationDate}  よろしいですか?",,
"Auto enable version on renew",更新時にバージョンを自動有効にする,,
"Automatic invoicing",自動請求,,
Back,戻る,,
Batches,バッチ,,
Batchs,バッチ,,
Cancel,キャンセル,,
"Close contract",契約の締結,,
Closed,クローズ,,
Code,コード,,
Company,会社,,
Config.,設定..,,
"Configurable contract",構成可能な契約,,
Configuration,構成,,
"Consumption Line",消込明細,,
"Consumption Lines",消込明細,,
"Consumption for next invoice",次回の請求書の消込,,
"Consumption management",消費管理,,
Consumptions,消費,,
Content,内容,,
Contract,契約,,
"Contract Dates",契約日,,
"Contract Line",契約明細,,
"Contract Lines",契約明細,,
"Contract N°",収縮No.,,
"Contract batch",契約バッチ,,
"Contract batches",契約バッチ,,
"Contract can't be empty for compute contract line price.",契約明細価格を計算するために契約を空にすることはできません,,
"Contract closing invoice",契約クローズ請求書,,
"Contract invoice",契約請求書,,
"Contract line",契約明細,,
"Contract template",契約テンプレート,,
"Contract template to use",使用する契約テンプレート,,
"Contract templates",契約テンプレート,,
"Contract version",契約バージョン,,
Contracts,契約,,
Copy,コピー,,
"Create PO",発注の作成,,
"Created by",作成者,,
"Created on",作成日,,
Currency,通貨,,
"Current invoice period",現在の請求書期間,,
"Current version",現在のバージョン,,
"Current version activation",現在のバージョンのアクティベーション,,
Customer,顧客,,
"Customer contracts",顧客契約,,
Date,日付,,
Delete,削除,,
"Delete next version",次のバージョンを削除,,
Description,説明,,
"Displayed Product name",表示される製品名,,
"Do not renew",更新しない,,
"Do you really wish to fill your contract based on this template ?",このテンプレートに基づいて契約を作成しますか?,,
Draft,ドラフト,,
Duration,期間,,
Durations,期間,,
"End date",終了日,,
"End of next invoicing period",次の請求期間の終了,,
"End of period",期末,,
"End of period plus",期末プラス,,
Engagement,契約,,
"Engagement duration",契約期間,,
"Engagement duration is not fulfilled.",契約期間が満たされていません,,
"Engagement start date",契約開始日,,
"Engagement start from version",バージョンから契約を開始,,
Error,エラー,,
"First period end date",最初の期間の終了日,,
"First period invoicing end date",第1期間の請求終了日,,
"Fiscal position",財政状態,,
"Forecast (contract)","需要予測 (契約)",,
"Full name",フルネーム,,
General,全般,,
Information,情報,,
Informations,情報,,
Invoice,請求書,,
"Invoice from consumption",消込からの請求書,,
"Invoice line",請求書明細,,
"Invoice period",請求期間,,
"Invoice period history",請求書期間履歴,,
"Invoice periods",請求書期間,,
Invoiced,請求済,,
Invoices,請求書,,
Invoicing,請求,,
"Invoicing Frequency",請求頻度,,
"Invoicing content",請求内容,,
"Invoicing date",請求日,,
"Invoicing management",請求管理,,
"Invoicing moment",請求モーメント,,
"Is invoiced",請求済,,
"Last Invoicing period",最終請求期間,,
"Last renewal date",最終更新日,,
"Linked invoice",リンク請求書,,
"Manage invoices",請求書の管理,,
"Meta file",メタファイル,,
Name,名称,,
New,新規作成,,
"New version",新しいバージョン,,
"Next Invoice Additional Benefit",次の請求書追加特典,,
"Next version",次のバージョン,,
"Next version activation",次のバージョンのアクティベーション,,
"No contract is associated to version.",バージョンに関連付けられている契約はありません,,
"Not invoiced",未請求,,
Notes,備考,,
"Nouvelle version",ヌーベルバージョン,,
"Number of days",日数,,
"Number of finished periods",終了した期間の数,,
"Number of renewal",更新回数,,
Ongoing,継続中,,
