key,message,comment,context
"Acquisition Date",取得日,,
"Activation Cost",アクティベーションコスト,,
Active,アクティブ,,
"Additional Properties",その他のプロパティ,,
Amount,金額,,
Archived,アーカイブ済み,,
Automatic,自動,,
Booking,予約,,
BookingDate,記帳日,,
Brand,ブランド,,
"CO2 Emissions","CO 2排出量",,
"Car value",車価,,
Category,種別,,
"Cause of repair",修理の原因,,
"Chassis Number",シャーシNo.,,
Color,色,,
Company,会社,,
Configuration,構成,,
Confirmed,確認済み,,
"Contact set",接触セット,,
"Contract Expiration Date",契約失効日,,
"Contract Reference",契約参照,,
"Contract Start date",契約開始日,,
"Contract details",契約の詳細,,
"Contract number",契約No.,,
Contractor,契約者,,
Cost,コスト,,
Customer,顧客,,
Daily,毎日,,
Date,日付,,
"Date of repair",修理日,,
Diesel,ディーゼル,,
Doors,ドア,,
Draft,ドラフト,,
Driver,ドライバ,,
Electric,電気,,
"Engine Options",エンジンオプション,,
Fleet,フリート,,
"Fuel card code",燃料カードコード,,
"Fuel card number",燃料カードNo.,,
"Fuel log",燃料ログ,,
"Fuel type",燃料タイプ,,
Gasoline,ガソリン,,
"General Properties",一般プロパティ,,
"Horse Power",馬力,,
"Horse Power Tax",馬税,,
Hybrid,ハイブリッド,,
Image,イメージ,,
"In Progress",進行中,,
"Included Services",付属サービス,,
Information,情報,,
Insurance,保険業,,
"Invoice Date",請求書日付,,
"Invoice Reference",請求書参照,,
"Kilometric value",値,,
Leasing,リース業務,,
Liter,リットル,,
Location,所在地,,
Manual,マニュアル,,
Mileage,走行距離,,
Model,モデル,,
Monthly,毎月,,
Name,名称,,
None,なし,,
Notes,備考,,
Odometer,オドメーター,,
"Odometer unit",オドメーターユニット,,
Odometers,オドメテル,,
"Partner set",パートナーセット,,
"Plate number",プレートNo.,,
Power(KW),"電力 (KW)",,
"Price per Liter",1リットルあたりの価格,,
Purchaser,購入者,,
"Recurring Cost",定型費用,,
"Recurring Cost Frequency",定型費用頻度,,
"Recurring Costs",繰り返し発生するコスト,,
"Refueling details",給油の詳細,,
"Rent end",レンタル終了,,
"Rent start",レンタル開始,,
Rental,レンタル,,
"Rental car",レンタカー,,
Repairing,修復中,,
Repairs,修理,,
Seats,シート,,
"Service Type",サービスタイプ,,
"Service log",サービスログ,,
Services,各種サービス業,,
State,州,,
Status,ステータス,,
Tags,タグ,,
Terminated,終了,,
"Terms and Conditions",契約条件,,
"To Close",閉じる,,
"Total Price",合計価格,,
"Total cost",総費用,,
Transmission,伝送,,
Type,種類,,
Unit,単位,,
Vehicle,車両,,
"Vehicle Contract",車両契約,,
"Vehicle Cost",車両コスト,,
"Vehicle Fuel",車両燃料,,
"Vehicle Fuel Log",車両燃料ログ,,
"Vehicle Model",車両モデル,,
"Vehicle Recurring Cost",車両固定費,,
"Vehicle Service",車両サービス,,
"Vehicle Service Log",車両サービスログ,,
"Vehicle Service Type",車両サービスタイプ,,
"Vehicle brands",自動車ブランド,,
"Vehicle contract",車両契約,,
"Vehicle contracts",車両契約,,
"Vehicle cost",車両費,,
"Vehicle fuel log",車両燃料ログ,,
"Vehicle models",車両モデル,,
"Vehicle odometer",車両走行距離計,,
"Vehicle rent",車両代,,
"Vehicle service",車両サービス,,
"Vehicle service list",車両サービスリスト,,
"Vehicle service log",車両サービスログ,,
"Vehicle service type",車両サービスタイプ,,
"Vehicle sevice type",車両サービスタイプ,,
"Vehicle tag",車両タグ,,
"Vehicle tags",車両タグ,,
Vendor,ベンダー,,
Vendors,ベンダー,,
"Warning Date",警告日,,
Weekly,毎週,,
Yearly,年,,
g/km,g/km単位,,
value:Fleet,値:フリート,,
