key,message,comment,context
"0 %",0%,,
"10 %",10%,,
"100 %",100%,,
"20 %",20%,,
"30 %",30%,,
"40 %",40%,,
"50 %",50%,,
"60 %",60%,,
"70 %",70%,,
"80 %",80%,,
"90 %",90%,,
"All SLA",すべてのSLA,,
"All ticket types",すべてのチケットタイプ,,
"All tickets",すべてのチケット,,
"App helpdesk",アプリケーションヘルプデスク,,
"Apply on",適用先,,
"Assign to me",自分に割り当てる,,
"Assigned to",割り当て先,,
Cancel,キャンセル,,
Characteristics,特徴,,
Close,略歴を閉じる,,
Closed,クローズ,,
Code,コード,,
Configuration,構成,,
"Current tickets",現在のチケット,,
Customer,顧客,,
"Customer contact",お客様窓口,,
Dates,日付,,
Deadline,期限,,
Description,説明,,
Duration,期間,,
"End date",終了日,,
Follow-up,フォローアップ,,
"From Date",日付:自,,
Helpdesk,ヘルプデスク,,
High,高,,
"In progress",進行中,,
"Late tickets",遅延チケット,,
Low,低,,
"Mail subject",メールの件名,,
"Manage Timer",タイマーの管理,,
"Minimum priority",最小優先度,,
"My team tickets",私のチームチケット,,
"My tickets",私のチケット,,
Name,名称,,
New,新規作成,,
Normal,標準,,
"Not assigned tickets",割り当てられていないチケット,,
"Number of tickets per SLA & per team",SLAおよびチームごとのチケット数,,
"Number of tickets per SLA & per user",SLAおよびユーザーごとのチケット数,,
Overview,概要,,
Percentage,構成比,,
"Percentage of repartition tickets per state",状態ごとの再分割チケットの割合,,
"Percentage of tickets per SLA & per team",SLAおよびチームごとのチケットの割合,,
"Percentage of tickets per SLA & per user",SLAおよびユーザーごとのチケットの割合,,
"Please select tickets",チケットを選択してください,,
Priority,優先度,,
Progress,進捗状況,,
"Progress (%)","進行状況 (%)",,
Project,プロジェクト,,
Projects,プロジェクト,,
"Reach in",到達,,
"Reach stage",リーチステージ,,
"Real total duration (Hours)","実質合計期間 (時間)",,
Reportings,レポート,,
Resolve,解決,,
Resolved,解決済み,,
SLA,SLA,,
"SLA Details",SLAの詳細,,
"SLA Policy",SLAポリシー,,
"SLA completed",SLAの完了,,
"SLA dashboard",SLAダッシュボード,,
"SLA policies",SLAポリシー,,
"SLA policy name",SLAポリシー名,,
Start,開始,,
"Start date",開始日,,
Status,ステータス,,
Stop,停止,,
Subject,件名,,
"Take charge",担当,,
Target,ターゲット,,
Team,チーム,,
Ticket,チケット,,
"Ticket Closed",チケットクローズ,,
"Ticket Details",チケット詳細,,
"Ticket In Progress",チケット進行中,,
"Ticket In Resolved",解決されたチケット,,
"Ticket Number",チケットNo.,,
"Ticket N°",チケットNo.,,
"Ticket Type",チケットの種類,,
"Ticket created",チケットが作成されました,,
"Ticket dashboard",チケットダッシュボード,,
"Ticket type",チケットの種類,,
"Ticket types",チケットの種類,,
Tickets,チケット,,
"Tickets by ticket type",チケットの種類別のチケット,,
Timer,タイマー,,
"Timer list",タイマーリスト,,
"Timer state",タイマーの状態,,
"To Date",日付:至,,
"Total duration (Hours)","合計期間 (時間)",,
"Total tickets",チケット合計,,
Urgent,緊急,,
User,ユーザー,,
"User in charge of the issue",問題の担当者,,
"Working Days",稼働日,,
days,日,,
hours,時間,,
info,情報,,
success,成功,,
value:Helpdesk,ヘルプデスク,,
