key,message,comment,context
"%d expense treated successfully,",%d件の費用が正常に処理されました,,
"%d expenses treated successfully,",%d支出の処理に成功しました,,
+33000000000,+33000000000,,
+33100000000,+33100000000,,
+33600000000,+33600000000,,
"6 days week",週6日,,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa-facebook'href=' http://www.facebook.com' target='_blank'/>",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa-linkedin'href=' http://www.linkedin.com' target='_blank'/>",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa-twitter'href=' http://www.twitter.com' target='_blank'/>",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa-youtube'href=' http://www.youtube.com' target='_blank'/>",,
"Account information",アカウント情報,,
Accounting,会計,,
Acquired,取得済,,
Action,アクション,,
Actions,アクション,,
Active,アクティブ,,
Activity,アクティビティ,,
"Add a line",線分を追加する,,
"Add an advance",前払いを追加する,,
"Add lines",線分を追加する,,
Advance,アドバンス,,
"Advance management",高度な管理,,
Afternoon,午後,,
"Alert if the manuf. order is finish","Alert if the manuf. order is finish",,
All,すべて,,
"All my Expenses",すべての私の経費,,
"All my Leave Requests",すべての休暇要求,,
"All my Timesheets",すべてのタイムシート,,
"All my extra hours",私の余分な時間は,,
"All timesheets",すべてのタイムシート,,
"Allow Injection",射出を許可,,
"Allow expense creation",経費の作成を許可,,
"Allow negative value for leaves",休暇に負の値を許可,,
"Allow negative values for employee leaves",従業員の休暇に負の値を許可する,,
"Also export already exported payroll preparations",すでにExportされている給与計算のExport,,
Amendment,修正,,
"Amendment Date",修正日,,
"Amendment type",修正タイプ,,
Amount,金額,,
"Analytic distribution",解析的分布,,
"Analytic distribution lines",分析配分明細,,
"Analytic distribution template",分析分布テンプレート,,
"Annual expenses report",経費報告書,,
"Annual gross salary",年間総給与額,,
"Annual report",アニュアルレポート,,
Anomaly,異常,,
"App Expense",アプリケーション費用,,
"App Leave",アプリケーションの終了,,
"App Timesheet",アプリケーションタイムシート,,
"Application condition",適用条件,,
"Are you sure wants to remove selected lines?",選択した行を削除しますか?,,
"Arriving city",到着都市,,
"Attach to",アタッチ先,,
"Automatic generation dates must be included in the timesheet period",自動生成日はタイムシート期間に含める必要があります,,
"Available Stock of Lunch Vouchers",昼食クーポンの在庫,,
"Available quantity (acquired)","有効数量 (取得済)",,
"Available quantity (before validation)","有効数量 (検証前)",,
Bank,銀行,,
"Bank Order",銀行オーダー,,
"Base amount per employee",従業員一人当たりの基準額,,
"Basic information",基本情報,,
Batches,バッチ,,
Batchs,バッチ,,
"Birth date",生年月日,,
"Block expense tax modification",経費修正をブロックする,,
"Bonus coefficient",係数,,
"Bonus type",ボーナスの種類,,
Bonuses,賞与,,
CDD,CDD,,
COMPLEMENT,補完,,
CP,CP,,
CSV,CSV,,
Calculate,計算,,
Calculated,計算済み,,
"Can only be selected by HR Management",人事管理でのみ選択可能,,
Cancel,キャンセル,,
"Cancel payment",支払いのキャンセル,,
Canceled,キャンセル済み,,
"Canceled Expense Template",取消済費用テンプレート,,
"Canceled Extra Hours Template",取消済臨時時間テンプレート,,
"Canceled Leave Request Template",取消休暇要求テンプレート,,
"Canceled Timesheet Template",キャンセルされたタイムシートテンプレート,,
Canteen,キャンティーン,,
Catalog,カタログ,,
Categorization,分類,,
"Charges and Contributions",手数料および拠出金,,
"Choose payment mode",支払モードの選択,,
Citizenship,シチズンシップ,,
"City of birth",出生地,,
"Close period",クローズ期間,,
Closed,クローズ,,
Code,コード,,
Coefficient,係数,,
"Coefficient for bonus",賞与係数,,
Cohabitee,コハビティー,,
"Colleague Leave Requests",仕事仲間の休暇の要求,,
Comment,コメント,,
Comments,コメント,,
Companies,会社,,
Company,会社,,
"Company %s does not have any expense's sequence",会社%sには経費シーケンスがありません,,
"Company address",会社住所,,
"Company code",会社コード,,
"Company credit card details",会社のクレジット・カード詳細,,
"Company department",会社部門,,
"Company fixed phone",会社固定電話,,
"Company's credit card",会社のクレジットカード,,
"Complete my Timesheet",私のタイムシートを完成させる,,
"Complete my expense",経費の入力,,
"Complete my leave request",休暇の申請を完了する,,
"Compute amounts",量を計算する,,
"Compute distance with web service",Webサービスによる距離の計算,,
Configuration,構成,,
Confirm,確認,,
"Confirm & Continue",確認して続行,,
"Confirmed Extra Hours Template",確認済臨時時間数テンプレート,,
"Confirmed Timesheet Template",確認済みタイムシートテンプレート,,
"Consolidate timesheet line on invoice",タイムシート行を請求書に連結する,,
Consume,消費,,
Contact,連絡先,,
"Contact in case of emergency",緊急時の連絡先,,
Content,内容,,
Continue,継続,,
Contract,契約,,
"Contract type",契約タイプ,,
"Contractual information",契約情報,,
Costs,コスト,,
Counted,カウント,,
"Country of birth",出生国,,
Create,作成,,
"Create amendment",修正を作成,,
"Create lines for day leaves",休暇のラインを作成する,,
"Create lines for public holidays",祝日用の行を作成する,,
"Create new user",新しいユーザーの作成,,
"Created by",作成者,,
"Created on",作成日,,
"DATE D'ENTREE",開始日,,
"DATE DE SORTIE",事業開始日,,
"DATE NAISS",伊達ナイス,,
"DEPT NAISS",ナイスデ,,
DPAE,パ,,
DPAEs,DPAE,,
"Daily cost",日当,,
"Daily work hours",1日の勤務時間,,
Dashboard,ダッシュボード,,
Dashboards,ダッシュボード,,
Date,日付,,
"Date can't be in the future",日付を将来の日付にすることはできません,,
"Date can't be in the future for line(s) : %s",行の日付を将来の日付にすることはできません:%s,,
"Date difference should be maximam 31 days.",日付の差は最大31日です,,
"Date of birth",生年月日,,
"Date of hire",採用日,,
Dates,日付,,
Day,日,,
"Day leave",日中休暇,,
Days,日数,,
"Days validated",検証日,,
"Deduct lunch voucher",昼食割引券,,
"Default Activity Product",デフォルトのアクティビティプロダクト,,
"Default day number gain",デフォルトの日数増加,,
Department,部署,,
"Department of birth",出生学科,,
Description,説明,,
Details,詳細,,
"Display activity column in printing",印刷時にアクティビティ列を表示,,
"Display task column in printing",印刷時にタスク列を表示する,,
"Display timesheet line number",タイムシートの行No.を表示する,,
"Distance travelled",移動距離,,
"Distribution date",配布日,,
Draft,ドラフト,,
Duration,期間,,
