key,message,comment,context
"%d messages has been regenerated successfully and %d errors append.",%d個のメッセージが正常に再生成され、%d個のエラーが追加されました,,
"Add Signature",署名の追加,,
Address,住所,,
"Address Block",アドレスブロック,,
"All messages",すべてのメッセージ,,
Bcc,BCC,,
"Cannot regenerate message without related model.",関連モデルなしでメッセージを再生成できません,,
"Cannot regenerate message without template associated to message.",メッセージにテンプレートが関連付けられていないため、メッセージを再生成できません,,
Cc,シーシー,,
Chat,チャット,,
"Check Duplicate",重複チェック,,
Code,コード,,
Configurations,構成,,
"Connection successful",接続に成功しました,,
Content,内容,,
Context,コンテキスト,,
"Create message",メッセージの作成,,
Default,デフォルト,,
"Default account",既定のアカウント,,
Delete,削除,,
Deleted,削除,,
Draft,ドラフト,,
Email,Eメール,,
"Email Accounts",電子メールアカウント,,
"Email address",メールアドレス,,
"Email addresses",電子メールアドレス,,
"Email sending is in progress",メール送信中,,
"Email sending is in progress for %d messages.",%dメッセージの電子メール送信中です,,
Emails,電子メール,,
"Expr. value","Expr. value",,
"Fetch emails",電子メールを取得する,,
"Forecasted Sent Date",予測送信日,,
From,開始日,,
"Generate message",メッセージを生成,,
Group,グループ,,
Host,ホスト,,
IMAP,IMAP,,
"If you leave this field empty or fill it with an incorrect formula, the default email account's signature will be used.\nExamples of a correct formulas:\n$__user__.emailSignature$\n$first(__user__.emailAccountList).signature$","このフィールドを空のままにするか、誤った数式を入力すると、既定の電子メールアカウントの署名が使用されます。\n正しい式の例:\n $__user__.emailSignature$\n$first (__user__.emailAccountList).signature$",,
"In progress",進行中,,
"Incorrect login or password",不正なログインまたはパスワード,,
Informations,情報,,
Json,ジョンソン,,
Language,言語,,
Login,ログイン,,
Mail,メール,,
"Mail account",メールアカウント,,
"Mail accounts",メールアカウント,,
"Media Type",メディアタイプ,,
Message,メッセージ,,
"Message destinated to",宛先メッセージ,,
Messages,メッセージ,,
"Messages not sent",メッセージが送信されない,,
Model,モデル,,
"Model empty. Please configure a model.",モデルが空です。モデルを構成してください,,
NONE,なし,,
Name,名称,,
"No Mail content entered.",メールの内容が入力されていません,,
POP,POP,,
Password,パスワード,,
"Please configure a template",テンプレートを構成してください,,
"Please select one or more messages.",1つ以上のメッセージを選択してください,,
"Please set the email template to send",送信する電子メールテンプレートを設定してください,,
Port,ポート,,
Print,印刷,,
"Provided settings are wrong, please modify them and try again",設定が間違っている場合は、修正して再試行してください,,
Received,受信,,
Recipient,受信者,,
"Recipient address",受信者のアドレス,,
Recipients,受信者,,
"Record Id",レコードID,,
"Record Name",レコード名,,
"Regenerate messages",メッセージの再生成,,
"Related to",関連,,
"Related to1 select","1 selectに関連",,
"Related to2 select","2 selectに関連",,
"Reply to",返信先,,
"Resend messages",メッセージを再送信,,
Routings,工順,,
SMTP,SMTP,,
SSL,SSL,,
SSL/STARTTLS,SSL/STARTTLS,,
STARTTLS,はじめに,,
"Select template",テンプレートを選択,,
Send,送信,,
"Sender (User)","送信者 (ユーザー)",,
"Sender's email address is null or empty",送信者の電子メールアドレスがNULLまたは空です,,
Sent,送信済み,,
"Sent by email",電子メールで送信,,
"Sent date",送信日,,
"Server Type",サーバータイプ,,
Signature,署名,,
Status,ステータス,,
Subject,件名,,
System,システム,,
"TO/CC/BCC recipient's email address is empty",TO/CC/BCC受信者のメールアドレスが空です,,
"Target receptor",標的受容体,,
Template,テンプレート,,
"Template Context",テンプレートコンテキスト,,
"Template Rules",テンプレート規則,,
Templates,テンプレート,,
"Test connection",接続のテスト,,
"The email template model (%s) is different than the entity generating the email (%s)","電子メールテンプレートモデル (%s) は、電子メールを生成しているエンティティ (%s) とは異なります",,
"There is already a default account",既定のアカウントが既に存在します,,
To,宛先,,
Type,種類,,
"Unable to reach server. Please check Host,Port and SSL/TLS",サーバーにアクセスできません。ホスト、ポート、およびSSL/TLSを確認してください,,
User,ユーザー,,
Valid,有効,,
Validate,検証,,
"Waiting model: %s",待機中のモデル:%s,,
"Your target receptor is not valid. Please check it.",ターゲットレセプターが無効です。調べてください,,
user@mydomain.com,user@mydomain.com,,
