key,message,comment,context
"% Charging Back Purhcases",%チャージ・バック・ケース,,
1,1,,
2,2,,
3,3,,
4,4,,
5,5,,
6,6,,
"A deadline is required",期限が必要です,,
Action,アクション,,
Address,住所,,
"Advance payment invoices",前払金請求書,,
"Analytic move lines",,,
Annex,付表,,
"App business project",アプリ事業プロジェクト,,
"Are you sure wants to unlink project from selected lines?.",選択した行からプロジェクトのリンクを解除しますか?,,
"Are you sure you want to generate invoices for all selected affairs ?",選択したすべての案件の請求書を生成しますか?,,
"Attach the Annex to the invoice",請求書に添付する,,
"Automatic Project",自動プロジェクト,,
Batch,バッチ,,
Batches,バッチ,,
"Business project",ビジネスプロジェクト,,
"Business projects",ビジネスプロジェクト,,
Canceled,キャンセル済み,,
"Charging Back Purchases Type",購買タイプのチャージ・バック,,
Code,コード,,
Comments,コメント,,
Company,会社,,
Configurations,構成,,
"Confirmed Orders Total",確認済受注合計,,
"Consolidate all",すべて統合,,
"Consolidate phase invoicing",連結フェーズ請求,,
"Consolidate the phases",フェーズを統合する,,
"Cost W.T.",コストW.T,,
"Created by",作成者,,
"Created on",作成日,,
Currency,通貨,,
"Customer deliveries",顧客搬送,,
"Customer invoice lines",顧客請求書明細,,
"Customer invoices",顧客請求書,,
"Customer referral",顧客の紹介,,
Date,日付,,
Deadline,期限,,
"Default Invoicing Product for Projects",プロジェクトのデフォルト請求製品,,
"Default product",既定の製品,,
"Default value",デフォルト値,,
"Default value invoicing type",デフォルト値請求タイプ,,
Delete,削除,,
Description,説明,,
"Discount type",割引タイプ,,
"Discount amount",割引額,,
"Display expense lines on printing",印刷時に経費明細を表示する,,
"Display timesheet lines on printing",印刷時にタイムシート行を表示する,,
"Don't consolidate",統合しない,,
Draft,ドラフト,,
"Elements To Invoice",請求するエレメント,,
Empty,空,,
"Enable task templates by product",製品毎にタスク・テンプレートを使用可能にする,,
"Enable to invoice expense",費用を請求できる,,
"Enable to invoice timesheet",請求タイムシートを有効にする,,
"Estimated Costs Total",見積原価合計,,
"Estimated Margin",推定マージン,,
"Exculde tasks for invoicing",請求タスクを除外する,,
Expense,経費,,
"Expense Lines",経費明細,,
"Expense Lines Priority",経費明細の優先度,,
"Expense lines",経費明細,,
Expenses,経費,,
ExpensesTotal,経費合計,,
"Factory not found this type of generator",ファクトリでこのタイプのジェネレータが見つかりません,,
"Finalized Orders Total",最終発注合計,,
Free,無料,,
"Generate Invoice",請求書の生成,,
"Generate invoicing projects",請求プロジェクトの生成,,
"Generate/Select Project for Order",オーダーするプロジェクトを生成/選択,,
Generated,生成,,
"Generated element type",生成されたエレメントタイプ,,
"Generated invoicing project",生成された請求書プロジェクト,,
"Generated invoicing projects",生成された請求プロジェクト,,
Identically,同一,,
Information,情報,,
"Invalid exclude task for invoicing filter",請求フィルタの除外タスクが無効です,,
Invoice,請求書,,
"Invoice all selected business affairs",選択したすべての業務を請求する,,
"Invoice generated",請求書が生成されました,,
"Invoice lines",請求書明細,,
"Invoice post task",請求書転記タスク,,
"Invoice pre task",請求書プレタスク,,
Invoice.draftInvoiceNoAnnex,"ANNEX OF PROFORMA INVOICE N°",,
Invoice.expenseProduct,経費タイプ,,
Invoice.expenseTaxAmount,"請求書 消費税金額",,
Invoice.expenseTitle,経費明細,,
Invoice.expenseTotalAmount,総額,,
Invoice.invoiceNoAnnex,"ANNEX OF INVOICE N°",,
Invoice.purchaseInvoiceNoAnnex,"ANNEX OF PURCHASE INVOICE N°",,
Invoice.purchaseRefundNoAnnex,"ANNEX OF PURCHASE REFUND N°",,
Invoice.refundNoAnnex,"ANNEX OF REFUND N°",,
Invoice.supplierReference,仕入先参照,,
Invoice.timesheetActivity,アクティビティ,,
Invoice.timesheetDuration,期間,,
Invoice.timesheetTitle,タイムシートの詳細,,
Invoice.timesheetUser,ユーザー,,
Invoiced,請求済,,
"Invoiced Orders Total",請求済受注合計,,
"Invoicing Expenses",請求費用,,
"Invoicing Purchases",請求購買,,
"Invoicing Type",請求タイプ,,
"Invoicing business project",請求ビジネスプロジェクト,,
"Invoicing business projects",ビジネス・プロジェクトの請求,,
"Invoicing comment",請求コメント,,
"Invoicing project",請求プロジェクト,,
"Invoicing projects",請求プロジェクト,,
"Invoicing sequence",請求シーケンス,,
"Invoicing timesheet",請求タイムシート,,
"Invoicing unit",請求ユニット,,
InvoicingProjectAnnex,請求プロジェクト付属書,,
InvoicingProjectAnnex.activity,アクティビティ,,
InvoicingProjectAnnex.annex,付表,,
InvoicingProjectAnnex.assignedTo,割り当て先,,
InvoicingProjectAnnex.businessProject,ビジネスプロジェクト,,
InvoicingProjectAnnex.code,コード,,
InvoicingProjectAnnex.comments,コメント,,
InvoicingProjectAnnex.currency,通貨,,
InvoicingProjectAnnex.customer,顧客,,
InvoicingProjectAnnex.date,日付,,
InvoicingProjectAnnex.deadline,期限,,
InvoicingProjectAnnex.dueDate,期限,,
InvoicingProjectAnnex.duration,期間,,
InvoicingProjectAnnex.estimatedShippingDate,発送予定日,,
InvoicingProjectAnnex.expenseDate,支出日,,
InvoicingProjectAnnex.expenseType,経費タイプ,,
InvoicingProjectAnnex.expenses,経費,,
InvoicingProjectAnnex.fromDate,開始日,,
InvoicingProjectAnnex.invoiceGenerated,請求書が生成されました,,
InvoicingProjectAnnex.invoiced,請求済,,
InvoicingProjectAnnex.name,名称,,
InvoicingProjectAnnex.parentProject,親プロジェクト,,
InvoicingProjectAnnex.productName,製品名,,
InvoicingProjectAnnex.progress,進捗状況,,
InvoicingProjectAnnex.project,プロジェクト,,
InvoicingProjectAnnex.projects,プロジェクト,,
InvoicingProjectAnnex.purchaseOrder,発注,,
InvoicingProjectAnnex.purchases,購入,,
InvoicingProjectAnnex.qty,数量,,
InvoicingProjectAnnex.sales,売上高,,
InvoicingProjectAnnex.status,ステータス,,
InvoicingProjectAnnex.supplier,仕入先,,
InvoicingProjectAnnex.task,タスク,,
InvoicingProjectAnnex.taskDate,タスク日付,,
InvoicingProjectAnnex.tasks,タスク,,
InvoicingProjectAnnex.timeSpent,所要時間,,
InvoicingProjectAnnex.toDate,日付:至,,
InvoicingProjectAnnex.toInvoice,請求書へ,,
InvoicingProjectAnnex.totalATI,合計A.T.I,,
InvoicingProjectAnnex.totalAmountWT,合計金額W.T,,
InvoicingProjectAnnex.totalTax,税金合計,,
