key,message,comment,context
"Additional Partner/Contacts",その他のパートナー/連絡先,,
"Additional leads",追加引合,,
"Allow the editing of the targets",ターゲットの編集を許可する,,
"An event will be generated by target, are you sure you want to continue ?",ターゲットによってイベントが生成されます。続行しますか?,,
"Assign to",割り当て先,,
"Assigned to",割り当て先,,
Attendee,出席者,,
Attendees,出席者,,
Batchs,バッチ,,
Both,両方,,
Campaign,キャンペーン,,
"Campaign Type",キャンペーンタイプ,,
"Campaign reminders",キャンペーンのリマインダ,,
"Campaign type",キャンペーンの種類,,
"Campaign types",キャンペーンの種類,,
Campaigns,キャンペーン,,
Cancel,キャンセル,,
"Cannot generate targets. Please check lead filter of Target Model.",ターゲットを生成できません。ターゲットモデルのリードフィルタを確認してください,,
"Cannot generate targets. Please check partner filter of Target Model.",ターゲットを生成できません。ターゲットモデルのパートナーフィルタをチェックしてください,,
"Clear Selection",選択をクリア,,
Configuration,構成,,
Contact,連絡先,,
"Contact/Partner reminder template",連絡先/パートナーのリマインダテンプレート,,
"Contact/Partners template",連絡先/パートナーテンプレート,,
Days,日数,,
Draft,ドラフト,,
Duration,期間,,
"Duration type",期間の種類,,
Email,Eメール,,
"Email Account",電子メール勘定科目,,
"Email sending log",メール送信ログ,,
Emailing,Eメール,,
"Emailing report",レポートを電子メールで送信する,,
"Emails sent successfully",電子メールが正常に送信されました,,
End,終点,,
Ended,終了,,
Enrolled,登録済み,,
"Error in sending an email to the following targets",次のターゲットに電子メールを送信中にエラーが発生しました,,
"Error in sending emails. Please check the log file generated.",電子メールの送信エラー。生成されたログファイルを確認してください,,
"Event Type",イベントタイプ,,
"Event end",イベント終了,,
"Event start",イベント開始,,
"Event type",イベントタイプ,,
Events,行事,,
"Fiscal position",財政状態,,
"Generate Events",イベントの生成,,
"Generate Targets",ターゲットの生成,,
"Generate event to the team and salesperson in charge of the partner/leads",チームおよびパートナー/引合担当営業へのイベントの生成,,
"Generated emails",生成された電子メール,,
Guided,ガイド付き,,
Hours,時間,,
Informations,情報,,
"Invite all targets",すべてのターゲットを招待,,
"Invite selected targets",選択したターゲットを招待,,
Invited,招待,,
"Launch emailing",Eメールサービスの開始,,
Lead,リード,,
"Lead Query",リードクエリ,,
"Lead filters",鉛フィルター,,
"Lead reminder template",引合リマインダのテンプレート,,
Leads,リード,,
"Leads Target List",引合ターゲット・リスト,,
"Leads template",引合テンプレート,,
"Manage an event per target",ターゲット毎のイベントの管理,,
"Manage attendees",出席者を管理する,,
Manual,マニュアル,,
Marketing,マーケティング,,
"Marketing Campaigns",マーケティングキャンペーン,,
Minutes,分,,
Name,名称,,
"Not participating",参加していない,,
"Open filtered leads",フィルタされたリードを開く,,
"Open filtered partners",フィルタされたパートナーを開く,,
"Open planned events",予定されたイベントを開く,,
Participate,参加,,
Partner,パートナー,,
"Partner Query",パートナー検索,,
"Partner filters",パートナーフィルタ,,
"Partner/Contacts Target List",パートナー/連絡先ターゲットリスト,,
Partners,パートナー,,
"Past events",過去の出来事,,
Plan,計画,,
Planned,計画済,,
"Planned events",計画されたイベント,,
"Please add atleast one invited Partner or Lead.",招待されたパートナーまたはリードを少なくとも1人追加してください,,
"Please select at least one template",少なくとも1つのテンプレートを選択してください,,
"Please select target",ターゲットを選択してください,,
Presence,プレゼンス,,
"Present at the event",イベントで発表する,,
"Related to",関連,,
"Related to select",選択に関連,,
Reminded,削除済み,,
Reminders,リマインダ,,
Report,報告,,
Results,結果,,
"Select Query type",クエリータイプを選択,,
"Select target field",ターゲットフィールドを選択,,
"Select type",タイプを選択,,
"Send a reminder",アラームを送信する,,
Sequence,シーケンス,,
Stage,病期,,
Start,開始,,
"Start date time",開始日時,,
Started,開始,,
Subject,件名,,
Suspend,中断,,
Suspended,中断,,
"Target List",ターゲットリスト,,
"Target Model",ターゲットモデル,,
"Target list",ターゲットリスト,,
"Target lists",ターゲット・リスト,,
Targets,目標,,
"Targets to contact",連絡先,,
Team,チーム,,
Template,テンプレート,,
Tools,ツール,,
Type,種類,,
Weeks,週,,
"value:Marketing Management",マーケティング管理,,
