key,message,comment,context
"50 Latest Supplier Orders",50最新の仕入先受注,,
"A tax line is missing",税金明細が欠落しています,,
"ABC analysis",ABC分析,,
ATI,,,
AbcAnalysis.endDate,終了日:,,
AbcAnalysis.startDate,開始日:,,
Accept,承諾,,
"Accept and generate PO",発注の受入と生成,,
Accepted,承諾済み,,
Actions,アクション,,
Add,追加,,
"All requests accepted",すべての要求が受け入れられました,,
"All requests sent",送信されたすべての要求,,
Amount,金額,,
"Amount A.T.I.",金額A.T.I,,
"Amount Tax",税額,,
"Amount invoiced W.T.",W.T.の請求金額,,
"Amount to be spread over the timetable",スケジュールに配分される金額,,
"Analytic distribution",解析的分布,,
"Analytic distribution required on purchase order line",発注明細に分析配分が必要です,,
Analytics,分析,,
"App purchase",アプリケーション購入,,
"Apply to all",すべてに適用,,
Attributes,属性,,
"Back to validated order",検証済受注に戻る,,
"Base W.T.",基本W.T,,
Budget,予算,,
"Budget distribution",予算配分,,
"Business Project",ビジネスプロジェクト,,
"Business project",ビジネスプロジェクト,,
Buyer,バイヤー,,
"Calculated price/Qty",計算された価格/数量,,
Cancel,キャンセル,,
"Cancel receipt",受入の取消,,
Canceled,キャンセル済み,,
Characteristics,特徴,,
"Closed Purchase orders",クローズ済発注,,
Code,コード,,
Company,会社,,
"Company bank",企業銀行,,
Configuration,構成,,
Confirm,確認,,
"Confirm my cart",カートの確認,,
Confirmation,確認,,
Contact,連絡先,,
"Contact partner",連絡先パートナー,,
Contacts,連絡先,,
Content,内容,,
Currency,通貨,,
"Current Purchase orders",現在の発注,,
"Custom field",カスタムフィールド,,
"Custom fields",カスタムフィールド,,
Dashboard,ダッシュボード,,
Dates,日付,,
Deliver,配信,,
"Deliver Partially",部分的に配信,,
Delivery,配送,,
Description,説明,,
"Description To Display",表示する説明,,
"Desired receipt date",希望受入日,,
"Discount type",割引タイプ,,
"Discount amount",割引額,,
"Discount rate",割引率,,
"Display buyer on printing",印刷時に購入者を表示する,,
"Display price on requested purchase printing",購買依頼印刷の表示価格,,
"Display product code on printing",印刷時に製品コードを表示する,,
"Display product detail on printing",印刷時に製品の詳細を表示する,,
"Display purchase order line number","発注明細 No.の表示",,
"Display supplier code on printing",印刷時に仕入先コードを表示する,,
"Display tax detail on printing",印刷時に税金の詳細を表示する,,
"Displayed Product name",表示される製品名,,
Draft,ドラフト,,
"Enable product description copy",製品説明のコピーを有効にする,,
"End date",終了日,,
"Estim. receipt date",,,
"Estimated delivery Date",配送予定日,,
"Filter on supplier",仕入先のフィルタ,,
"Finish the order",オーダーを完了します,,
Finished,完了,,
"Fixed Assets",固定資産,,
Follow-up,フォローアップ,,
"Freeze fields",フィールドを固定する,,
"From Date",日付:自,,
"Full name",フルネーム,,
"Generate PO",発注の生成,,
"Generate control invoice",管理請求書の生成,,
"Generate purchase configurations",購入構成の生成,,
"Generate supplier arrival",仕入先到着の生成,,
"Generate suppliers requests",仕入先要求の生成,,
"Group by product",製品別にグループ化,,
"Group by supplier",仕入先別グループ,,
Historical,履歴,,
"Historical Period",歴史時代,,
"In ATI",ATI内,,
"In Stock Moves",在庫移動中,,
Information,情報,,
"Internal Note",内部メモ,,
"Internal Ref.",内部参照.,,
"Internal note",内部メモ,,
"Internal purchase requests",社内購買依頼,,
"Invoice Lines",請求書明細,,
Invoiced,請求済,,
Invoices,請求書,,
Invoicing,請求,,
"Last update",最終更新,,
"Manage multiple purchase quantity",複数購入数量の管理,,
"Manage purchase order versions",発注バージョンの管理,,
"Manage purchases unit on products",製品の購入単位の管理,,
"Manage supplier catalog",仕入先カタログの管理,,
"Merge into single purchase order",,,
"Merge purchase orders",,,
"Merge quotations",,,
"Message for requesting prices",価格を要求するメッセージ,,
"Min sale price",最低販売価格,,
Month,月,,
"My Closed Purchase orders",私のクローズ済発注,,
"My Ongoing Purchase orders",継続発注,,
"My Orders to process",処理する私の・オーダー,,
"My Purchase orders",私の発注,,
"My Purchase request",購入依頼,,
"My RFQs",私の見積依頼,,
"My RFQs and POs To Validate (Requested & Received)","検証する私の見積依頼と発注 (要求された受信日時)",,
"My Sales",私のセールス担当,,
"My Validated POs",検証済発注,,
"My purchased amount by product accounting family",製品会計ファミリ別の購入金額,,
"My purchased qty by product accounting family",製品会計ファミリ別の購入数量,,
Name,名称,,
"Nbr of PO by month",月別発注数,,
"New product",新製品,,
"New version",新しいバージョン,,
"Not invoiced",未請求,,
"Not received",未受信,,
OR,,,
"Ongoing Purchase orders",継続発注,,
"Order Date",オーダー日,,
Ordered,オーダー済,,
Overview,概要,,
"PO Management",発注管理,,
"PO Tax line",発注税金明細,,
"PO Tax lines",発注税金明細,,
"PO line",発注明細,,
"PO lines",発注明細,,
"PO lines detail",詳細,,
"POs Volume by buyer by accounting family",購買オーダー会計ファミリ別購買担当別数量,,
"Partial delivery",部分配送,,
"Partially invoiced",一部請求済,,
"Partially received",一部受信,,
"Partner price lists",パートナー価格リスト,,
Percent,パーセント,,
"Please enter at least one detail line.",少なくとも1つの詳細行を入力してください,,
"Please enter supplier for following purchase request : %s",次の購入依頼の仕入先を入力してください:%s,,
"Please fill printing settings on following purchase orders: %s",次の発注の印刷設定を入力してください:%s,,
"Please fill printing settings on purchase order %s",発注%sの印刷設定を入力してください,,
"Please select the purchase order(s) to print.",印刷する発注を選択してください,,
"Price List",価格表,,
"Price list",価格表,,
"Price lists",価格表,,
Print,印刷,,
Printing,印刷,,
"Printing settings",印刷設定,,
Product,商品,,
"Product Accounting Family",製品会計ファミリ,,
"Product code on catalog",カタログの製品コード,,
"Product name on catalog",カタログの製品名,,
"Products & services",製品とサービス,,
"Products list",製品リスト,,
Purchase,購入,,
"Purchase Buyer",購買担当,,
"Purchase Manager",購入マネージャ,,
"Purchase Request Line",購買依頼明細,,
"Purchase Request Lines",購買依頼明細,,
"Purchase blocking",購入ブロック,,
"Purchase config",構成の購入,,
"Purchase config (${ name })","構成の購入 (${name})",,
"Purchase configuration",購入構成,,
"Purchase configurations",購入構成,,
"Purchase order",発注,,
"Purchase order created",発注が作成されました,,
"Purchase order information",発注情報,,
"Purchase orders",発注,,
"Purchase orders ATI/WT",発注ATI/WT,,
"Purchase orders Details",発注詳細,,
"Purchase orders to merge",マージする発注,,
"Purchase quotation",購入価格,,
"Purchase quotations",購買見積,,
"Purchase request",購入依頼,,
"Purchase request creator",購買依頼作成者,,
PurchaseOrder.afterDiscount,値引き後に,,
PurchaseOrder.base,ベース,,
PurchaseOrder.buyer,バイヤー,,
PurchaseOrder.buyerEmail,Eメール,,
PurchaseOrder.buyerPhone,"電話 No.",,
PurchaseOrder.canceled,キャンセル済み,,
PurchaseOrder.customer,顧客,,
PurchaseOrder.customerRef,顧客のリファレンス,,
PurchaseOrder.deliveryAddress,配送先住所,,
PurchaseOrder.deliveryDate,納期,,
PurchaseOrder.description,説明,,
PurchaseOrder.desiredDelivDate,希望受入日,,
PurchaseOrder.discountAmount,割引,,
PurchaseOrder.draft,ドラフト,,
PurchaseOrder.finished,完了,,
PurchaseOrder.invoicingAddress,請求先住所,,
PurchaseOrder.note,注,,
PurchaseOrder.order,オーダー,,
PurchaseOrder.orderDate,オーダー日,,
PurchaseOrder.paymentCondition,支払条件,,
PurchaseOrder.paymentMode,支払モード,,
PurchaseOrder.priceExclTax,"Amount Excl. Tax",,
PurchaseOrder.priceInclTax,"Amount Incl. Tax",,
PurchaseOrder.productSequence,シーケンス,,
PurchaseOrder.productStandard,標準,,
PurchaseOrder.purchaseInfo,購入情報,,
PurchaseOrder.qtyUnit,数量,,
PurchaseOrder.quote,RFQ,,
PurchaseOrder.ref,参考,,
PurchaseOrder.reference,参考,,
PurchaseOrder.requested,要求,,
PurchaseOrder.state,ステータス,,
PurchaseOrder.statusCanceled,発注が取り消されました,,
PurchaseOrder.statusDraft,発注書草案,,
PurchaseOrder.statusFinished,発注が完了しました,,
PurchaseOrder.statusRequested,発注依頼,,
PurchaseOrder.statusValidated,発注が検証されました,,
PurchaseOrder.supplier,仕入先,,
PurchaseOrder.supplierCode,仕入先コード,,
PurchaseOrder.supplyRef,仕入先参照,,
PurchaseOrder.tax,税金,,
PurchaseOrder.taxAmount,税額,,
PurchaseOrder.totalDiscount,割引,,
PurchaseOrder.totalExclTax,"Total Excl. Tax",,
PurchaseOrder.totalExclTaxWithoutDiscount,"Total gross Excl. Tax",,
PurchaseOrder.totalInclTax,法人税合計,,
PurchaseOrder.totalTax,税金合計,,
PurchaseOrder.unitPrice,単価,,
PurchaseOrder.validated,検証済み,,
Purchased,購入済み,,
"Purchased amount by accounting family",会計ファミリー別購入金額,,
"Purchased amount by product accounting family",製品会計ファミリー別購入金額,,
"Purchased amount distribution by accounting family",会計ファミリー別購入金額分布,,
Purchases,購入,,
"Purchases Order filters",発注フィルタ,,
"Purchases follow-up",購入のフォローアップ,,
"Purchases unit",購入単位,,
Qty,数量,,
Quantity,数量,,
"Quantity min",数量最小,,
Quotation,見積,,
"RFQ And PO To Validate",検証する見積依頼と発注,,
"Receipt State",入金ステータス,,
Received,受信,,
"Received quantity",受入数量,,
Ref.,参照.,,
"Reference already existing",既存の参照,,
References,参考資料,,
Refuse,拒否,,
Refused,拒否,,
Reportings,レポート,,
Reports,報告,,
Request,依頼,,
Requested,要求,,
"Reverse charged",逆チャージ,,
"Sale orders",販売オーダー,,
"Sale price",販売価格,,
"Sale quotations",売買相場,,
"See budget distribution lines","「予算配分明細」 を参照",,
"See purchase order lines","「発注明細」 を参照",,
"See purchase orders lines","「発注明細」 を参照",,
"See quotation lines","「見積明細」 を参照",,
"Send Email",電子メールを送信,,
"Send email",電子メールの送信,,
Seq.,シーケンス,,
"Shipping Coefficients",出荷係数,,
"Show invoice",請求書の表示,,
"Start date",開始日,,
Status,ステータス,,
"Stock location",在庫場所,,
"Stock move",株価の動き,,
Supplier,仕入先,,
"Supplier Catalog",仕入先カタログ,,
"Supplier Catalog Lines",仕入先カタログ明細,,
"Supplier Comment",仕入先コメント,,
"Supplier RFQ/PO",仕入先見積依頼/発注,,
"Supplier RFQs/POs",仕入先見積依頼/発注,,
"Supplier box in purchase order",発注の仕入先ボックス,,
"Supplier catalog",仕入先カタログ,,
"Supplier code",仕入先コード,,
"Supplier invoices",仕入先請求書,,
"Supplier is required to generate a purchase order.",仕入先は発注を生成する必要があります,,
"Supplier ref.",仕入先参照.,,
Suppliers,仕入先,,
"Suppliers Map",仕入先マップ,,
"Suppliers requests",仕入先要求,,
Tax,税金,,
"Tax Equiv",税均等,,
"Tax Lines",税金明細,,
Team,チーム,,
"The company %s doesn't have any configured sequence for the purchase orders",会社%sには発注用に設定されたシーケンスがありません,,
"The company is required and must be the same for all purchase orders",会社は必須であり、すべての発注で同じである必要があります,,
"The currency is required and must be the same for all purchase orders",通貨は必須で、すべての発注で同じである必要があります,,
"The field 'Stock Location' must be filled.","「保管場所 」 フィールドに入力する必要があります",,
"The line cannot be null.",行をNULLにすることはできません,,
"The minimum order quantity of %s to the supplier is not respected.",仕入先に対する%sの最小発注数量が守られていません,,
"The supplier Partner is required and must be the same for all purchase orders",仕入先パートナは必須であり、すべての発注で同一である必要があります,,
"The trading name must be the same for all purchase orders",取引名はすべての発注で同じである必要があります,,
"There is no sequence set for the purchase requests for the company %s",会社%sの購入依頼にシーケンスが設定されていません,,
"This product is not available from the supplier.",この製品は仕入先から入手できません,,
"This supplier is blocked:",この仕入先はブロックされています:,,
Timetable,時刻表,,
Title,タイトル,,
"Title Line",タイトル行,,
"To Date",日付:至,,
Tools,ツール,,
"Total A.T.I.",合計A.T.I,,
"Total A.T.I. in company currency",社内通貨建て総勘定,,
"Total Purchased Amount by month",月別購入総額,,
"Total Purchased Qty by month",月別購入数量合計,,
"Total Tax",税金合計,,
"Total W.T.",合計W.T,,
"Total W.T. in company currency",企業通貨の総WT,,
"Total tax",税金合計,,
"Trading name",商号,,
"Turn Over",ターンオーバー,,
Unit,単位,,
