key,message,comment,context
"${fullName} plan. st. move",,,
"${fullName} real st. move",,,
0.00,0.00,,
0.50,0.50,,
1.00,1.00,,
1.50,1.50,,
2.00,2.00,,
2.50,2.50,,
3.00,3.00,,
3.50,3.50,,
4.00,4.00,,
4.50,4.50,,
5.00,5.00,,
"<B>%s or %s</B> not found",<B>%sまたは%s</B>が見つかりません,,
"<span class='label label-warning'>Warning : Delivery address is missing.</span>","<span class='label label-warning'> 警告:配送先住所がありません。</span></span>",,
"A cancel reason must be selected",キャンセル理由を選択する必要があります,,
"A partial stock move has been generated (%s)","部分的な在庫移動が生成されました (%s)",,
"ABC analysis",ABC分析,,
AbcAnalysis.stockLocation,保管場所:,,
"Account selection to carrier",運送業者への勘定科目選択,,
"Accounting family",会計ファミリ,,
"Accounting value",会計価値,,
Add,追加,,
Address,住所,,
Alert,アラート,,
"All storable products used in DEB must have net mass and mass unit information for customs.",DEBで使用されるすべての保管可能製品には、税関用の正味質量および質量単位情報が必要です,,
Allocate,割り当て,,
"Allocate all",すべてを割り当てる,,
"Allocations of costs",費用の配賦,,
"An error occurred while importing the file data, product not found with code :","ファイルデータの Import中にエラーが発生しました。コード:",,
"An error occurred while importing the file data, there are multiple products with code :","ファイルデータの Import中にエラーが発生しました。コードを持つ複数の製品があります:",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","ファイルデータの Import中にエラーが発生しました。トレースバックログを確認するには、アプリケーション管理者に問い合わせてください",,
"An incoming partial stock move has been generated (%s)","入力方向の部分在庫移動が生成されました (%s)",,
"An outgoing partial stock move has been generated (%s)","出庫部分在庫移動が生成されました (%s)",,
"App stock",アプリケーション株,,
"Are you sure you want to change status to  ""Collected "" ?","ステータスを [回収済] に変更しますか?",,
"Are you sure you want to go back to provision ?",プロビジョニングに戻りますか?,,
"Are you sure you want to realize this stock move?",この在庫移動を実現しますか?,,
"Are you sure you want to validate the carrier?",キャリアを検証しますか?,,
"Arrival product qty",到着製品数量,,
"Arrivals History",到着履歴,,
"Auto product tracking Nbr. order",,,
"Auto sale tracking Nbr. order","自動販売追跡 No..オーダー",,
"Auto select product tracking Nbr.","製品トラッキング No.の自動選択",,
"Auto select sale tracking Nbr.","自動選択販売追跡 No..",,
"Av. for product",製品の平均,,
Availability,可用性,,
"Availability request",可用性要求,,
Available,使用可能,,
"Available qty",使用可能数量,,
"Available qty for product",製品の有効数量,,
"Available status",使用可能ステータス,,
Average,平均,,
"Average Price",平均価格,,
"Back to provision",プロビジョニングに戻る,,
Backorder,バックオーダー,,
"Backorder Id",バックオーダーID,,
"Backorder Stock Move",バックオーダー在庫移動,,
"Bad stock location lines",,,
"Bad stock move type",不良在庫移動タイプ,,
Barter,バーター,,
"Both source location address and delivery (to) address are required to define the delivery itinerary",搬送日程を定義するには、搬送元事業所所在地と搬送先所在地の両方が必要です,,
Buyer,バイヤー,,
Buyer/Seller,バイヤー/セラー,,
CSV,,,
"Can't delete a planned stock move",計画在庫移動を削除できません,,
"Can't delete a realized stock move",実現された在庫移動を削除できません,,
"Can't realize this stock move because of the ongoing inventory %s.",進行中の在庫%sのため、この在庫移動を認識できません,,
Cancel,キャンセル,,
"Cancel reason",理由のキャンセル,,
"Cancel reservation",予約のキャンセル,,
Canceled,キャンセル済み,,
Cancellation,取消,,
"Cancellation confirmation",キャンセル確認,,
"Cancelled Arrivals",取消済到着,,
"Cannot go back to draft status.",下書きの状態に戻れません,,
"Carriage (Sea/Air) to port of import",輸入港までの海上輸送,,
"Carriage to place of destination",目的地までの運送,,
"Carriage to port of export",輸出港までの運送,,
Carrier,運送業者,,
"Carrier validated",キャリア検証済み,,
"Certificate of conformity",適合証明書,,
"Certificate of conformity title",適合証明書,,
"Change allocated qty",割当数量の変更,,
"Check Duplicate",重複チェック,,
Code,コード,,
Collected,収集済み,,
"Collection date",回収日,,
"Comment to display on picking order",ピッキング順序に表示するコメント,,
