key,message,comment,context
Accept,承諾,,
Accepted,承諾済み,,
Actions,アクション,,
"Available qty",使用可能数量,,
Cancel,キャンセル,,
Canceled,キャンセル済み,,
Comments,コメント,,
"Estim. delivery date",配送予定日,,
"Generate all suppliers requests",すべての仕入先要求の生成,,
"Generate suppliers purchase orders",仕入先発注の生成,,
"Initial purchase order",最初の発注,,
"Manage supplier consultations",仕入先との協議の管理,,
"My R.F.Q.",私のR.F.Q,,
"My R.F.Q. to complete",私のR.F.Q.は完成しました,,
"My deliveries",私の配達,,
"My purchase orders",私の発注,,
"My space",私のスペース,,
"Not accept",受け入れない,,
"Not accepted",不合格,,
"Ordered quantity",受注数量,,
"Purchase order",発注,,
"Purchase order Details",発注詳細,,
"Receipt date",入金日,,
Request,依頼,,
Requested,要求,,
"Show suppliers purchase orders",仕入先発注の表示,,
State,州,,
Status,ステータス,,
"Stock move",株価の動き,,
"Stock move information",在庫移動情報,,
"Stock move line",,,
"Stock move lines",在庫移動明細,,
"Stock move reference",素材移動参照,,
"Stock moves",在庫移動,,
Submit,送信,,
Submitted,送信済み,,
Supplier,仕入先,,
"Supplier RFQ/PO",仕入先見積依頼/発注,,
"Supplier consultations",仕入先との協議,,
"Supplier request",仕入先要求,,
"Supplier's consulting's request created",仕入先のコンサルティング依頼作成,,
"Suppliers orders' generation over",仕入先の受注の世代超過,,
"Suppliers purchase",仕入先による購買,,
"Suppliers requests",仕入先要求,,
Tools,ツール,,
"Unit price",単価,,
"WARNING : To Date must be after or equals to From Date",警告:終了日は開始日以降である必要があります,,
"Write to the supplier",供給者に書く,,
"suppliers requests",仕入先要求,,
