key,message,comment,context
"%s building",%s建物,,
"%s consume",%s消費,,
"%s missing",%sが見つかりません,,
105,105,,
5,5,,
"A cancel reason must be selected",キャンセル理由を選択する必要があります,,
Action,アクション,,
Actions,アクション,,
"Add Manuf. Order","Add Manuf. Order",,
"Add components in bulk",コンポーネントの一括追加,,
"Add to components",コンポーネントに追加,,
"All Current Manufacturing Orders",現在のすべての製造オーダー,,
"All Upcoming Manufacturing Orders",すべての今後の製造オーダー,,
"All products has been consumed",すべての製品が消費されました,,
Allocate,割り当て,,
"Alternative Bill of materials",代替部品表,,
"App production",アプリ制作,,
Applicable,適用可能,,
Approval,承認,,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.",既定の電子メールアカウントがないか、有効な電子メールアカウントが見つからないため、自動電子メールは送信されませんでした。作成してください,,
"Automatically plan the manuf. orders generated from sale order","Automatically plan the manuf. orders generated from sale order",,
"Available stock",有効在庫,,
"Average Price",平均価格,,
BOM,BOM,,
BOM.billOfMaterialList,コンポーネントの概要,,
BOM.company,会社,,
BOM.defineSubBillOfMaterial,サブ部品表を定義する,,
BOM.hasNoManageStock,株式を管理しない,,
BOM.priority,優先度,,
BOM.qty,数量,,
BOM.title,部品表,,
BOM.unit,単位,,
BOM.versionNumber,バージョンNo.,,
BOMs,部品表,,
Barcode,バーコード,,
"Barcode Type",バーコードタイプ,,
Batchs,バッチ,,
"Bill of Materials",部品表,,
"Bill of materials",部品表,,
"Bill of materials and production process must be applicable",部品表と製造工程を適用する必要がある,,
"Bill of materials",部品表,,
BillOfMaterial,部品表マテリアル,,
"Bills of material",部品構成表,,
"Bills of materials",部品表,,
BoM,ブート,,
"Bom child tree list",BOM子ツリーリスト,,
"Bom level",BOMレベル,,
"Bom tree list",BOMツリーリスト,,
Brand,ブランド,,
"Calculate all BOM levels",すべての部品表レベルを計算する,,
"Calculation date",計算日,,
"Calculation number",計算No.,,
"Calculation type",計算タイプ,,
Cancel,キャンセル,,
"Cancel Reason",取消事由,,
"Cancel Reasons",取消事由,,
"Cancel reason",理由のキャンセル,,
"Cancel reservation",予約のキャンセル,,
Canceled,キャンセル済み,,
Cancellation,取消,,
"Cancellation confirmation",キャンセル確認,,
"Cancelled MOs",取消済MO,,
"Cancelled Operations",取り消した操作,,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of materials has a valid production process.",製造プロセスなしで製造オーダーを追加することはできません。選択した部品表に有効な製造プロセスがあることを確認してください,,
"Capacity settings",容量の設定,,
"Change allocated qty",割当数量の変更,,
"Charge by machine",機械によるチャージ,,
Code,コード,,
Comments,コメント,,
Companies,会社,,
Company,会社,,
Components,構成部品,,
"Components default stock location",構成部品のデフォルトの素材位置,,
"Components valuation method for BOM",部品表の部品評価方法,,
"Components valuation method for manuf. order","Components valuation method for manuf. order",,
"Comput. cost","Comput. cost",,
"Compute cost price",コスト価格の計算,,
"Compute work in progress valuation",仕掛品評価を計算する,,
"Computed work in progress valuation",計算された仕掛品の評価,,
Computed_cost,計算結果コスト,,
Condition,条件,,
Configuration,構成,,
Configurator,Configurator,,
"Configurator BOM",Configurator部品表,,
"Configurator BOM component","Configurator BOMコンポーネント",,
"Configurator BOM components","Configurator BOMコンポーネント",,
"Configurator BOM tree view","Configurator BOMツリービュー",,
"Configurator BoM",ConfiguratorBoM,,
"Configurator Phase",Configuratorフェーズ,,
"Configurator Phases",Configurator・フェーズ,,
"Configurator Prod Process",Configurator製品プロセス,,
"Configurator creators",Configurator作成者,,
"Configurator production process",Configuratorの製造プロセス,,
Configurators,設定者,,
"Configurators BOMs",Configurator部品表,,
"Configurators BOMs tree",Configurator部品表ツリー,,
"Confirm cancellation",キャンセルの確認,,
"Consume in stock moves",在庫移動で消費する,,
"Consumed product",消耗品,,
"Consumed product waste",使用済み製品廃棄物,,
"Consumed products",使用済み製品,,
"Consumed quantity",使用量,,
Consumption,消込,,
"Consumption qty",消込数量,,
"Control on receipt",受信時の制御,,
Cost,コスト,,
"Cost (W.T.)","コスト (W.T.)",,
"Cost Price",原価価格,,
"Cost calculations",コスト計算,,
"Cost price",原価価格,,
"Cost price calculation",原価価格計算,,
"Cost sheet",コストシート,,
"Cost sheet - %s",コストシート-%s,,
"Cost sheet group",コストシートグループ,,
"Cost sheet group for product",製品のコストシートグループ,,
"Cost sheet group for work center",ワークセンターのコストシートグループ,,
"Cost sheet groups",コストシートグループ,,
"Cost sheet line",コストシート行,,
"Cost sheet line detail",原価シート明細詳細,,
"Cost sheet lines",コストシート行,,
"Cost sheets",コストシート,,
"Cost sheets tree",コストシートツリー,,
"Cost to apply",適用コスト,,
"Cost type",コストタイプ,,
CostSheet,コストシート,,
CostSheet.ManufOrderNumber,"MO No.",,
CostSheet.billOfMaterial,部品表,,
CostSheet.calculationDate,計算年月日,,
CostSheet.calculationType,計算タイプ,,
CostSheet.calculationTypeBillOfMaterial,部品表,,
CostSheet.calculationTypeEndOfProduction,生産終了,,
CostSheet.calculationTypePartialEndOfProduction,生産の一部終了,,
CostSheet.calculationTypeWorkInProgress,進行中の作業,,
CostSheet.company,会社,,
CostSheet.costPrice,原価価格,,
CostSheet.costSheetLineBomLevel,BOMレベル,,
CostSheet.costSheetLineCode,コード,,
CostSheet.costSheetLineConsumptionQty,消込数量,,
CostSheet.costSheetLineCostSheetGroup,コストシートグループ,,
CostSheet.costSheetLineName,名称,,
CostSheet.costSheetLineUnit,単位,,
CostSheet.costSheetLines,原価シート明細詳細,,
CostSheet.createdBy,作成者,,
CostSheet.createdOn,作成日,,
CostSheet.currency,通貨,,
CostSheet.dateOfEdition,発行日,,
CostSheet.legend,凡例,,
CostSheet.lineType,種類,,
CostSheet.lineTypeConsumeProduct,消耗品,,
CostSheet.lineTypeConsumeProductWaste,使用済み製品廃棄物,,
CostSheet.lineTypeHuman,人間,,
CostSheet.lineTypeIndirectCost,間接費,,
CostSheet.lineTypeProduceProduct,製品の作成,,
CostSheet.lineTypeWorkCenter,ワークセンター,,
CostSheet.manufOrder,製造オーダー,,
CostSheet.title,コストシート,,
Cost_to_apply,適用までのコスト,,
"Costing settings",原価計算設定,,
"Costs computed",コストの計算,,
"Costs updated",更新されたコスト,,
"Create production order",製造オーダーの作成,,
"Created by",作成者,,
"Created on",作成日,,
Currency,通貨,,
Customer,顧客,,
"Cycle unit",サイクル単位,,
Dashboard,ダッシュボード,,
"Data import failed",データのImportに失敗しました,,
"Date of calculation",計算年月日,,
Dates,日付,,
Deallocate,割り当て解除,,
"Default BOM",既定の部品表,,
"Default Bill of materials",既定の部品表,,
"Default Machine",デフォルトマシン,,
"Default Machine settings",既定の工作機械設定,,
"Default sequence",デフォルトシーケンス,,
"Default work center product",デフォルトのワークセンター製品,,
"Define as default bill of materials of product",製品のデフォルト部品表として定義する,,
"Define sub bill of materials",サブ部品表を定義する,,
"Define with a configurator",Configuratorで定義する,,
"Define with a script",スクリプトで定義する,,
Description,説明,,
Descriptions,説明,,
Details,詳細,,
Diff,相違,,
"Diff consume manuf order",製造オーダーを消費する相違,,
"Diff consume operation order",差分の消費操作の順序,,
Difference,差,,
Differences,相違点,,
"Direct Manufacturing",直接製造,,
"Direct Material",直接材料,,
"Do you really wish to create a new version of this bill of materials ?",この部品表の新しいバージョンを作成しますか?,,
"Do you really wish to create a new version of this production process ?",この製造プロセスの新しいバージョンを作成しますか?,,
Draft,ドラフト,,
"Draft MOs",ドラフトMO,,
"Draft Operations",ドラフト操作,,
Duration,期間,,
"Duration (days)","期間 (日)",,
"Duration (hours)","期間 (時間)",,
"Duration / cycle (hh:mm)","期間/サイクル (hh:mm)",,
"Duration / cycle (hh:mm:ss)","期間/サイクル (hh:mm:ss)",,
"Duration between two cycles (hh:mm:ss)","2サイクル間の時間 (hh:mm:ss)",,
"Duration on MOs",MOの継続時間,,
"Enable production configurator",本番Configuratorを有効にする,,
"Enable the process for other products",他の製品のプロセスを可能にする,,
"End date",終了日,,
"End of production",生産終了,,
"Ending duration (hh:mm:ss)","終了時間 (hh:mm:ss)",,
"Error : You must configure a raw material requirement reporting sequence for the company %s",エラー:会社%sの原材料要件レポートシーケンスを構成する必要があります,,
"Error during production's order's creation",製造オーダーの作成中にエラーが発生しました,,
"Error while generating bill of material: the product of the bill of material is supposed to be computed from a script but the script did not return a product.",部品表の生成中にエラーが発生しました:部品表の製品はスクリプトから計算されることになっていますが、スクリプトが製品を返しませんでした,,
"Error while generating bill of material: the product of the bill of material is supposed to be filled in the configurator BOM but it was empty.",部品表の生成中にエラーが発生しました:部品表の製品はConfigurator部品表に入力されるはずですが、空でした,,
"Error while generating bill of material: the product of the bill of material is supposed to be generated from the configurator but the configurator did not generate a product.",部品表の生成中のエラー:部品表の製品はConfiguratorから生成されることになっていますが、Configuratorは製品を生成しませんでした,,
"Expected/Future Quantity",予測数量/将来数量,,
Export,Export,,
Filters,フィルタ,,
Finish,フィニッシュ,,
Finished,完了,,
"Finished MOs",完成したMO,,
"Finished Operations",終了した操作,,
"Finished products",完成品,,
"Finished products default stock location",完成品のデフォルト在庫場所,,
Forecast,予測,,
From,開始日,,
"From Date",日付:自,,
"General BoM",一般的なBOM,,
"Generate new version",新しいバージョンを生成,,
"Generate production configurations",本番構成の生成,,
"Generate production orders automatically",生産オーダーの自動生成,,
"Generate waste stock move",廃棄物在庫移動を発生させる,,
High,高,,
Human,人間,,
"Human Ressources Assigned per Manufacturing order",製造オーダーごとに割り当てられる人事リソース,,
"Human and Machine",人間と機械,,
"Human resources",人材,,
Image,イメージ,,
Import,Import,,
"Import CSV",CSVのImport,,
"In manuf order",手動の順序で,,
"In operation order",動作順序,,
"In progress",進行中,,
Indirect,間接,,
