key,message,comment,context
"%s project",%sプロジェクト,,
"0 %",0%,,
"10 %",10%,,
"100 %",100%,,
"20 %",20%,,
"30 %",30%,,
"40 %",40%,,
"50 %",50%,,
"60 %",60%,,
"70 %",70%,,
"80 %",80%,,
"90 %",90%,,
"<span class='label label-info'>Computed automatically if left empty</span>","<span class='label label-info'> 空のままにすると自動的に計算される</span>",,
"Accept Order",オーダーの承諾,,
Actions,アクション,,
"Add multiple lines",複数の線分を追加する,,
"Add selected lines",選択した線分を追加する,,
"All phase tasks",すべてのフェーズタスク,,
"All phases",すべてのフェーズ,,
"All tasks",すべてのタスク,,
Analytic,解析,,
Announcement,お知らせ,,
"App project",Appプロジェクト,,
"Assigned to",割り当て先,,
"Assigning to the customer",顧客への割当,,
"Assigning to the provider",プロバイダに割り当てる,,
"Book resource",ブックリソース,,
Business,業務,,
"Business project",ビジネスプロジェクト,,
Cancel,キャンセル,,
Canceled,キャンセル済み,,
Category,種別,,
Characteristics,特徴,,
"Child Projects",子プロジェクト,,
Code,コード,,
Company,会社,,
Configuration,構成,,
Configurations,構成,,
Content,内容,,
Contracts,契約,,
"Create business project from this template",このテンプレートからビジネスプロジェクトを作成,,
"Create invoicing project",請求プロジェクトの作成,,
"Create new customer contract",新規顧客契約の作成,,
"Create new supplier contract",新規仕入先契約の作成,,
"Create project from this template",このテンプレートからプロジェクトを作成,,
Currency,通貨,,
Customer,顧客,,
"Customer Contact",お客様の連絡先,,
"Customer Invoice lines",顧客請求書明細,,
"Customer contracts",顧客契約,,
"Daily planned charge in a month in an average per employee",従業員1人当たりの1か月の日次計画料金,,
"Daily planned charge in a month per employee",従業員1人当たりの日次計画料金,,
"Daily planned charge in a month per project",プロジェクトごとの1か月の日次計画料金,,
Dates,日付,,
Deadline,期限,,
"Deadline Today",今日の締め切り,,
"Deadline Tomorrow",明日まで,,
"Deadline Yesterday",期限昨日,,
"Default status",デフォルトステータス,,
"Delay to start (Hours)","開始までの遅延 (時間)",,
Description,説明,,
"Due Date",期限,,
"Duration (Hours)","期間 (時間)",,
"Duration hours",期間時間,,
Employee,従業員,,
"Enable task signature",タスクの署名を有効にする,,
"Enter Time spent",使用時間を入力,,
"Estimated time",推定時間,,
"Estimated time (in days)","推定時間 (数日で)",,
"Estimated time (in hours)","推定時間 (数時間で)",,
"Exclude planning",計画の除外,,
"Expense lines",経費明細,,
Expenses,経費,,
"Extends members from parent",親からメンバーを拡張します,,
"Financial Data",財務データ,,
"Financial Report",財務報告,,
Finish,フィニッシュ,,
"Finish tasks to finish",終了するタスクを終了する,,
"Finish tasks to start",開始するタスクを終了する,,
Finished,完了,,
Follow-up,フォローアップ,,
Followers,フォロワ,,
Frequency,周波数,,
"From Date",日付:自,,
"From date",開始日,,
Gantt,ガント,,
"Gantt with project",プロジェクト付きガント,,
"Gantt with user",ユーザー付きガント,,
"Gen proj type per order line",受注明細ごとの一般プロジェクト・タイプ,,
"Generate quotation",見積の生成,,
"Generate sequence for project",プロジェクトのシーケンスを生成,,
"Generated project",生成されたプロジェクト,,
High,高,,
Historical,履歴,,
Image,イメージ,,
"Import all members",すべてのメンバーのImport,,
Imputable,入力可能,,
"In Progress",進行中,,
"Internal Description",内部説明,,
Invoiced,請求済,,
Invoices,請求書,,
Invoicing,請求,,
"Is close",近い,,
"Is open",開いています,,
"Is unique task for multiple quantity",複数の数量に対して一意のタスクです,,
"Log Times",ログ時間,,
Low,低,,
"Manage lines",ラインを管理する,,
Members,メンバー,,
Membres,メンバ,,
"My projects",私のプロジェクト,,
"My tasks due",私のタスクの期限,,
"My tasks to do",実行する私のタスク,,
"My today planning",私の今日の計画,,
"My upcoming planning",私の今後の計画,,
Name,名称,,
New,新規作成,,
"New line",改行,,
"New task",新しいタスク,,
"New ticket",新規チケット,,
Normal,標準,,
"Not invoiced",未請求,,
"Not specified",指定なし,,
Notes,備考,,
"Open gantt",ガントを開く,,
"Open phase",オープンフェーズ,,
"Open task",タスクを開く,,
"Order Accepted",受注済,,
"Order Proposed",提案されたオーダー,,
"Order by state",州別の順序,,
"Parent project",親プロジェクト,,
"Parent task",親タスク,,
"Person In Charge",担当者,,
"Phase by line",線分によるフェーズ,,
"Phase tasks",フェーズタスク,,
Phases,フェーズ,,
"Plan project",プロジェクトの計画,,
"Planification and costs",平面化とコスト,,
"Planned Time Planning",計画時間計画,,
"Planned charge",計画手数料,,
"Planned progress",計画された進行状況,,
Planning,計画,,
"Please select project",プロジェクトを選択してください,,
"Please select user",ユーザーを選択してください,,
"Predecessors tasks",先行タスク,,
Product,商品,,
Production,制作,,
Progress,進捗状況,,
"Progress (%)","進行状況 (%)",,
Project,プロジェクト,,
"Project Calendar",プロジェクトカレンダー,,
"Project Folder",プロジェクトフォルダ,,
"Project Folders",プロジェクトフォルダ,,
"Project Gantt",プロジェクトガント,,
"Project Label",プロジェクトラベル,,
"Project Phase",プロジェクトフェーズ,,
"Project Task",プロジェクトタスク,,
"Project Task Tree",プロジェクトタスクツリー,,
"Project Tasks",プロジェクトタスク,,
"Project Wiki",プロジェクトWiki,,
"Project alone",プロジェクトのみ,,
"Project phase",プロジェクトフェーズ,,
"Project phases",プロジェクトフェーズ,,
"Project planning",プロジェクト計画,,
"Project set",プロジェクトセット,,
"Project template",プロジェクトテンプレート,,
"Project type select",プロジェクトタイプの選択,,
Project.toInvoice,請求書へ,,
"Project/Business (Project)","プロジェクト/ビジネス (プロジェクト)",,
Project/Phase,プロジェクト/フェーズ,,
Projects,プロジェクト,,
"Projects Financial Report",プロジェクト財務レポート,,
"Projects Folder",プロジェクトフォルダ,,
"Projects Planification and costs",プロジェクトの計画とコスト,,
"Purchase order lines",発注明細,,
Purchases,購入,,
Quantity,数量,,
"Related Projects",関連プロジェクト,,
"Related tasks",関連タスク,,
"Remove lines",線分を削除する,,
"Remove selected lines",選択した線分を除去,,
Reportings,レポート,,
Reports,報告,,
"Reset to New",新規にリセット,,
Resource,リソース,,
"Resource booking",リソース登録,,
"Resource bookings",生産資源記帳,,
"Resource management",リソース管理,,
"Resource type",リソースタイプ,,
"Resource types",リソースタイプ,,
Resources,リソース,,
Roadmap,ロードマップ,,
"Sale order lines",受注明細の販売,,
Sales,売上高,,
"Select Projects",プロジェクトを選択,,
"Select Users",ユーザーの選択,,
"Select lines to remove",除去する線分を選択,,
"Select new lines",新しい線分を選択,,
Sequence,シーケンス,,
"Serial/batch number",シリアル/バッチNo.,,
"Show expense lines",経費明細の表示,,
"Show phases elements",フェーズ要素を表示,,
"Show production orders",製造オーダを表示,,
"Show purchase order lines",発注明細の表示,,
"Show sale order lines",受注明細の表示,,
Signature,署名,,
Start,開始,,
"Start tasks to finish",タスクを開始して終了する,,
"Start tasks to start",開始するタスクを開始する,,
Status,ステータス,,
Stop,停止,,
Subject,件名,,
"Supplier Invoice lines",仕入先請求書明細,,
"Supplier contracts",仕入先契約,,
Synchronize,同期,,
"Take charge",担当,,
Task,タスク,,
"Task Invoicing",タスク請求,,
"Task Tree",タスクツリー,,
"Task assigned to",に割り当てられたタスク,,
"Task assigned to the client",クライアントに割り当てられたタスク,,
"Task assigned to the provider",プロバイダに割り当てられているタスク,,
"Task by line",行ごとのタスク,,
"Task date",タスク日付,,
"Task deadline",タスクの期限,,
"Task end",タスク終了,,
"Task history",タスク履歴,,
"Task template",タスクテンプレート,,
"Task template list",タスクテンプレートリスト,,
"Task templates",タスクテンプレート,,
"Task updated",タスクが更新されました,,
Tasks,タスク,,
"Tasks to finish before finish",終了前に終了するタスク,,
"Tasks to start before start",開始前に開始するタスク,,
Team,チーム,,
"Team Task Category",チーム・タスク・カテゴリ,,
"Team task list",チームタスクリスト,,
Teamtask.Package,パッケージ,,
Template,テンプレート,,
"The company %s doesn't have any configured sequence for Project",会社%sにはプロジェクトの構成済みシーケンスがありません,,
"The deep limit of the project is too high",プロジェクトの深い限界が高すぎます,,
"The selected project/task doesn't contain any customers",選択したプロジェクト/タスクには顧客が含まれていません,,
Ticket,チケット,,
Tickets,チケット,,
"Time Spent",所要時間,,
Timer,タイマー,,
"Timer list",タイマーリスト,,
Title,タイトル,,
"To Date",日付:至,,
"To Invoice",請求書へ,,
"To date",日付:至,,
Tools,ツール,,
"Total duration (Hours)","合計期間 (時間)",,
"Total planned hours",合計計画時間,,
"Tree view",ツリービュー,,
Type,種類,,
"Type of authorized activities",認可された活動の種類,,
"Type of authorized categories",認可カテゴリのタイプ,,
Unit,単位,,
"Unit price",単価,,
"Unlink selected lines",選択した行のリンク解除,,
"Update period according to task",タスクに応じた更新期間,,
Urgent,緊急,,
User,ユーザー,,
"User Gantt",ユーザーガント,,
"User Task",ユーザータスク,,
Users,ユーザー,,
"Validated Timesheet lines",検証済みタイムシート行,,
"Waiting Timesheet lines",タイムシート行の待機中,,
Wiki,ウィキ,,
"You have no active team, the planning can't be generated",計画を立てることができない,,
"You have no projects or tasks bound to you, your planning can't be generated.",計画を作成することはできません,,
"You have selected no team for this project",このプロジェクトにはチームが選択されていません,,
"Your team has no projects or tasks bound to it, the planning can't be generated.",計画を作成できません,,
hours,時間,,
project-Resources,プロジェクトリソース,,
