key,message,comment,context
0,0,,
1,1,,
2,2,,
3,3,,
4,4,,
5,5,,
"Action proposed",アクションの提案,,
Actions,アクション,,
"Add optional control points",オプションの制御点を追加する,,
"Alert calendar",アラート・カレンダー,,
"App quality",アプリケーションの品質,,
Applicable,適用可能,,
"Automatic mail by completing quality control",品質管理完了による自動メール,,
Calendar,カレンダー,,
Cancel,キャンセル,,
Canceled,キャンセル済み,,
"Choose quality process",品質プロセスの選択,,
Close,略歴を閉じる,,
Code,コード,,
Coefficient,係数,,
Compliant,準拠,,
Configuration,構成,,
Confirm,確認,,
Confirmed,確認済み,,
Conformity,適合性,,
"Control Frequency",制御周波数,,
"Control Points",制御点,,
"Control comment",コントロールコメント,,
"Control point",制御点,,
"Control point list",制御点リスト,,
"Control point model list",制御点モデルリスト,,
"Control point name",コントロールポイント名,,
"Control point type",制御点のタイプ,,
"Control points",制御点,,
"Corrective actions",修正措置,,
"Corrective actions list",修正アクションリスト,,
"Customer signature",顧客の署名,,
Date,日付,,
Deadline,期限,,
Description,説明,,
Details,詳細,,
Done,完了,,
Draft,ドラフト,,
"Edit control points",制御点を編集する,,
"End date",終了日,,
File,ファイル,,
Finish,フィニッシュ,,
Finished,完了,,
"From Date",日付:自,,
"Full name",フルネーム,,
High,高,,
"In progress",進行中,,
"Inspector signature",インスペクタ署名,,
Label,ラベル,,
Low,低,,
"Measuring Type",測定タイプ,,
"Measuring point list",測定点リスト,,
"Measuring points",測定点,,
"Model for quality control",品質管理のモデル,,
"My alerts",私の通知,,
"My quality controls",品質管理,,
"My team alerts",私のチームの通知,,
"My team quality controls",私のチームの品質管理,,
Name,名称,,
New,新規作成,,
Normal,標準,,
Note,注,,
Notes,備考,,
"Number of quality alerts",品質アラートの数,,
"Number of quality controls",品質管理件数,,
"Number of solved quality alerts",解決された品質アラートの数,,
Observations,観測,,
"On hold",保留中,,
"Optional control point list",オプションの制御点リスト,,
"Optional control points",オプションのコントロールポイント,,
"Optional quality control",オプションの品質管理,,
"Optional quality process",オプションの品質プロセス,,
Pause,一時停止,,
Pictures,画像,,
Plan,計画,,
Planned,計画済,,
"Please complete all control points",すべての制御点を完了してください,,
"Please fill printing settings on quality control",品質管理の印刷設定を入力してください,,
"Pre-fill control points",,,
"Preventive actions",予防処置,,
Print,印刷,,
"Printing settings",印刷設定,,
Priority,優先度,,
Product,商品,,
Project,プロジェクト,,
"Propose action",アクションを提案,,
Quality,品質,,
"Quality Dashboard",品質ダッシュボード,,
"Quality alert",品質警告,,
"Quality alert filters",品質警告フィルタ,,
"Quality alerts",品質警告,,
"Quality control",品質管理,,
"Quality control calendar",品質管理カレンダー,,
"Quality control filters",品質制御フィルタ,,
"Quality controls",品質管理,,
"Quality process",品質プロセス,,
"Quality processes",品質プロセス,,
"Quality tag",品質タグ,,
"Quality teams",品質チーム,,
QualityControl,品質管理,,
QualityControl.coefficient,係数,,
QualityControl.correctiveActions,"CORRECTIVE ACTIONS",,
QualityControl.customerSignature,CUSTOMER,,
QualityControl.endDate,DATE,,
QualityControl.finalNote,最後の注,,
QualityControl.generalObservation,一般的観察,,
QualityControl.inspectorSignature,INSPECTOR,,
QualityControl.measuringNote,注,,
QualityControl.observation,観察,,
QualityControl.project,PROJECT,,
QualityControl.projectClient,CUSTOMER,,
QualityControl.qualityControlTitle,"QUALITY CONTROL",,
QualityControl.reference,参考,,
QualityControl.responsible,RESPONSIBLE,,
QualityControl.total,合計,,
Reference,参考,,
Reportings,レポート,,
Result,結果,,
"Root cause",根本原因,,
"Root causes",根本原因,,
"Send email",電子メールの送信,,
Sequence,シーケンス,,
Solve,計算,,
Solved,解決済み,,
Standby,スタンバイ,,
Start,開始,,
"Start date",開始日,,
Status,ステータス,,
"Status select",ステータス選択,,
Tags,タグ,,
Team,チーム,,
"To Date",日付:至,,
Tools,ツール,,
Type,種類,,
Urgent,緊急,,
Week(s),週,,
"Work center",ワークセンター,,
counter,カウンター,,
quality.responsible,責任者,,
value:Quality,Quality,,
