key,message,comment,context
"%s : You must configure Sales module for company %s",%s:会社%sのセールスモジュールを構成する必要があります,,
"A cancel reason must be selected",キャンセル理由を選択する必要があります,,
"ABC analysis",ABC分析,,
ATI,,,
AbcAnalysis.endDate,終了日:,,
AbcAnalysis.startDate,開始日:,,
"Accepted Credit",検収済クレジット,,
"Accounted Revenue",計上済収益,,
"Accounting Family sale turnover (Excl. Tax) per month",,,
Action,アクション,,
Actions,アクション,,
Activate,アクティブ化,,
"Add Line from Configurator",Configuratorからの明細の追加,,
"Add Pack",パックを追加,,
"Add a pack",パックを追加する,,
"Adv. payment amount",前渡金,,
"Advance Payment",前受金,,
"Advance Payments",前払い,,
"Advance payment amount needed",前金必要額,,
"Advance payment needed",前払いが必要,,
"Advance payment total",前金合計,,
"Advance payments",前渡金,,
"All customer credit will be updated.",すべての顧客クレジットが更新されます,,
Allocate,割り当て,,
"Allocate all",すべてを割り当てる,,
"Allocated stock",割当済在庫,,
"Allow pending order modification",保留中のオーダーの変更を許可する,,
Amount,金額,,
"Amount A.T.I.",金額A.T.I,,
"Amount Tax",税額,,
"Amount invoiced W.T.",W.T.の請求金額,,
"Amount to be spread over the timetable",スケジュールに配分される金額,,
"Analytic distribution",解析的分布,,
"Analytic distribution required on sale order line",販売受注明細に必要な分析配分,,
Analytics,分析,,
"App sale",アプリ販売,,
"At least one sale order line has a stock move with availability request.",少なくとも1つの受注明細に、有効数量要求を伴う在庫移動があります,,
Attributes,属性,,
Authorizations,承認,,
"Authorized groups",承認されたグループ,,
"Authorized users",承認されたユーザー,,
"Availability Request",可用性要求,,
"Availability request",可用性要求,,
"Available stock",有効在庫,,
"Back to confirmed order",確認済みのオーダーに戻る,,
"Base W.T.",基本W.T,,
Batchs,バッチ,,
Bi-monthly,隔月,,
Blocked,ブロック,,
"Business Project",ビジネスプロジェクト,,
"Business project",ビジネスプロジェクト,,
"Calculated fields on configurator",Configuratorの計算フィールド,,
Cancel,キャンセル,,
"Cancel Reason",取消事由,,
"Cancel Reasons",取消事由,,
"Cancel reason",理由のキャンセル,,
"Cancel reservation",予約のキャンセル,,
Canceled,キャンセル済み,,
Cancellation,取消,,
"Cancellation confirmation",キャンセル確認,,
Category,種別,,
"Category sale turnover (Excl. Tax) per month",,,
"Change allocated qty",割当数量の変更,,
"Change requested reserved qty",要求された予約数量の変更,,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.",Configuratorの作成者が変更されました。Configurator作成をアクティブにして使用してください,,
Characteristics,特徴,,
"Check the script",スクリプトをチェックします,,
"Client box in sale order",販売オーダーの顧客ボックス,,
"Client is sale blocked:",クライアントは販売ブロックされています:,,
"Close opportunity when one of the linked sale orders is confirmed",リンクされた受注の1つが確認されたときに商談をクローズします,,
Code,コード,,
Comment,コメント,,
"Comment to display",表示するコメント,,
"Comment to display on delivery",納品時に表示するコメント,,
"Comment to display on invoice",請求書に表示するコメント,,
"Comment to display on picking order",ピッキング順序に表示するコメント,,
"Comment to display on proforma",プロファイルに表示するコメント,,
Company,会社,,
"Company bank",企業銀行,,
"Company currency",会社通貨,,
"Complete manually sale order",手動受注の完了,,
Components,構成部品,,
Conditions,条件,,
Configuration,構成,,
Configurator,Configurator,,
"Configurator BoM",ConfiguratorBoM,,
"Configurator creator name",Configurator作成者名,,
"Configurator creators",Configurator作成者,,
"Configurator formula list",Configurator式リスト,,
"Configurator type",Configurator・タイプ,,
ConfiguratorCreator,設定作成者,,
ConfiguratorCreators,Configurator作成者,,
Configurators,設定者,,
Configure,構成,,
"Confirm cancellation",キャンセルの確認,,
"Confirm order",オーダーの確認,,
Confirmation,確認,,
"Confirmation date",確認日,,
"Confirmed by",確認者,,
Confirmer,確認者,,
"Contact partner",連絡先パートナー,,
Contacts,連絡先,,
Content,内容,,
"Contract end date",契約終了日,,
"Contract period in months",月単位の契約期間,,
"Contract start date",契約開始日,,
Country,国,,
"Create Order from this Template",このテンプレートからオーダーを作成,,
"Create the quotation",見積の作成,,
"Creation date",作成日,,
Currency,通貨,,
"Current Login user",現在のログインユーザー,,
"Custom field",カスタムフィールド,,
"Custom fields",カスタムフィールド,,
Customer,顧客,,
"Customer Catalog",顧客カタログ,,
"Customer Catalog Lines",顧客カタログ明細,,
"Customer Credit",顧客クレジット,,
"Customer catalog lines",顧客カタログ明細,,
"Customer contact",顧客窓口,,
