key,message,comment,context
"${fullName} plan. st. move","${"${fullName} real st. move",,,
0.00,0.00,,
0.50,0.50,,
1.00,1.00,,
1.50,1.50,,
2.00,2.00,,
2.50,2.50,,
3.00,3.00,,
3.50,3.50,,
4.00,4.00,,
4.50,4.50,,
5.00,5.00,,
"<B>%s or %s</B> not found",<B>%sまたは%s</B>が見つかりません,,
"<span class='label label-warning'>Warning : Delivery address is missing.</span>","<span class='label label-warning'> 警告:配送�"<span class='label label-warning'>Warning : D"A cancel reason must be selected",キャンセル理由を選択する必要があります,,
"A partial stock move has been generated (%s)","部分的な在庫移動が生成されました (%s)",,
"ABC analysis",ABC分析,,
AbcAnalysis.stockLocation,保管場所:,,
"Account selection to carrier",運送業者への勘定科目選択,,
"Accounting family",会計ファミリ,,
"Accounting value",会計価値,,
Add,追加,,
Address,住所,,
Alert,アラート,,
"All storable products used in DEB must have net mass and mass unit information for customs.",DEBで使用されるすべての保管"All storable products used in DEB must have net mass and mass unit information for customAllocate,割り当て,,
"Allocate all",すべてを割り当てる,,
"Allocations of costs",費用の配賦,,
"An error occurred while importing the file data, product not found with code :",ファイルデータのImport中にエラーが発�"An error occurred while impor"An error occurred while importing the file data, there are multiple products with code :",ファイルデータのImport中にエラ"An error occurred while importing the file data, there are multiple products w"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.",ファイ�"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.",ファイルデータのImport中にエラーが発生�"An incoming partial stock move has been generated (%s)","入力方向の部分株式移動が生成されました (%s)",,
"An outgoing partial stock move has been generated (%s)","出庫部分株式移動が生成されました (%s)",,
"App stock",アプリケーション株,,
"Are you sure you want to change status to  ""Collected "" ?","ステータスを [回収済] に変更しますか?",,
"Are you sure you want to go back to provision ?",プロビジョニングに戻りますか?,,
"Are you sure you want to realize this stock move?",この在庫移動を実現しますか?,,
"Are you sure you want to validate the carrier?",キャリアを検証しますか?,,
"Arrival product qty",到着製品数量,,
"Arrivals History",到着履歴,,
"Auto product tracking Nbr. order",自動製品トラッキングNo.。オーダー,,
"Auto sale tracking Nbr. order",自動販売追跡No..オーダー,,
"Auto select product tracking Nbr.",製品トラッキングNo.の自動選択,,
"Auto select sale tracking Nbr.",自動選択販売追跡No..,,
"Av. for product",製品の平均,,
Availability,可用性,,
"Availability request",可用性要求,,
Available,使用可能,,
"Available qty",使用可能数量,,
"Available qty for product",製品の有効数量,,
"Available status",使用可能ステータス,,
Average,平均,,
"Average Price",平均価格,,
"Back to provision",プロビジョニングに戻る,,
Backorder,バックオーダー,,
"Backorder Id",バックオーダーID,,
"Backorder Stock Move",バックオーダー在庫移動,,
"Bad stock location lines",不良在庫ロケーションライン,,
"Bad stock move type",不良在庫移動タイプ,,
Barter,バーター,,
"Both source location address and delivery (to) address are required to define the delivery itinerary",搬送日程を定義するに"Both source location address and delivery (to) address are required to define thBuyer,バイヤー,,
Buyer/Seller,バイヤー/セラー,,
CSV,CSV,,
"Can't delete a planned stock move",計画在庫移動を削除できません,,
"Can't delete a realized stock move",実現された在庫移動を削除できません,,
"Can't realize this stock move because of the ongoing inventory %s.",進行中の在庫%sのため、この在庫移動を認識で�"Can't realizCancel,キャンセル,,
"Cancel reason",理由のキャンセル,,
"Cancel reservation",予約のキャンセル,,
Canceled,キャンセル済み,,
Cancellation,取消,,
"Cancellation confirmation",キャンセル確認,,
"Cancelled Arrivals",取消済到着,,
"Cannot go back to draft status.",下書きの状態に戻れません,,
"Carriage (Sea/Air) to port of import",輸入港までの海上輸送,,
"Carriage to place of destination",目的地までの運送,,
"Carriage to port of export",輸出港までの運送,,
Carrier,運送業者,,
"Carrier validated",キャリア検証済み,,
"Certificate of conformity",適合証明書,,
"Certificate of conformity title",適合証明書,,
"Change allocated qty",割当数量の変更,,
"Check Duplicate",重複チェック,,
Code,コード,,
Collected,収集済み,,
"Collection date",回収日,,
"Comment to display on picking order",ピッキング順序に表示するコメント,,
"Comment to display on stock move",在庫移動時に表示するコメント,,
Comments,コメント,,
"Commercial regularization resulting in value increase",商業的正則化による価値の増大,,
"Commercial regularization resulting in value reduction",商業的正則化による価値の低下,,
Company,会社,,
"Company Unit price W.T.",会社単価W.T,,
"Company account",会社勘定,,
"Company address is empty.",会社の住所が空です,,
"Company cannot be null.",会社はNULLにできません,,
"Company missing for stock location %s",在庫場所%sの会社が見つかりません,,
Complete,完了,,
Completed,完了,,
Compliant,準拠,,
"Compliant arrival product qty",適合到着製品数量,,
Configuration,構成,,
"Configuration is missing in stock configuration to see financial data",財務データを表示するための構成が在庫構成�"Configuration is mi"Confirm cancellation",キャンセルの確認,,
Conformity,適合性,,
"Conformity Certificates",適合証明書,,
"Conformity certificate",適合証明書,,
ConformityCertificate.certificateNumber,証明書No.,,
ConformityCertificate.customerName,顧客名,,
ConformityCertificate.designation,指定,,
ConformityCertificate.externalReference,お客様のリファレンス,,
ConformityCertificate.function,機能,,
ConformityCertificate.lotNoRef,ロットNo./参照,,
ConformityCertificate.name,名称,,
ConformityCertificate.numberAndDateDelivery,配信日時,,
ConformityCertificate.orderDate,オーダー日,,
ConformityCertificate.orderNumber,オーダーNo.,,
ConformityCertificate.partNumber,部品No.,,
ConformityCertificate.qtyUnit,数量/単位,,
ConformityCertificate.quantity,数量,,
ConformityCertificate.sequence,シーケンス,,
ConformityCertificate.signature,署名,,
ConformityCertificate.stockMoveLineRowNum,ROW,,
"Consignments by post",郵送による委託,,
"Control on Receipt",受入管理,,
"Correction Reason",訂正事由,,
Counter,カウンター,,
Country,国,,
"Country of origin",原産国,,
"Create inventory",インベントリの作成,,
Current,現在の,,
"Current Qty",現在の数量,,
"Current Quantity",現在の数量,,
"Current quantity problem",現在の数量の問題,,
"Cust. Shipment to prepare",顧客.準備出荷,,
"Customer account",顧客アカウント,,
"Customer account number",顧客アカウントNo.,,
"Customer account number to carrier",運送業者への顧客アカウントNo.,,
"Customer account numbers to carriers",通信事業者への顧客アカウントNo.,,
"Customer average delivery delay",顧客平均納期遅延,,
"Customer deliveries",顧客搬送,,
"Customer deliveries by country",各国のお客様への配送,,
"Customer deliveries filters",顧客搬送フィルタ,,
"Customer deliveries statistics",顧客出荷統計,,
"Customer order ref.",顧客受注参照.,,
"Customer returns",顧客返品,,
"Customer virtual stock location",顧客の仮想在庫場所,,
Customs,税関,,
"Customs code",税関コード,,
"Customs code nomenclature",関税分類名,,
"Customs code nomenclature:all",関税分類名,,
Dashboard,ダッシュボード,,
"Data is null or empty",データがNULLまたは空です,,
Date,日付,,
Dates,日付,,
Deallocate,割り当て解除,,
"Deallocate all",すべての割り当てを解除,,
"Declaration of exchanges for %s is not supported.",%sの交換の宣言はサポートされていません,,
"Default signatory user",デフォルトの署名者ユーザー,,
"Default stock location",デフォルトの素材位置,,
"Defense or intergovernmental program",防衛や政府間プログラム,,
"Define ideal Qty",理想的な数量の定義,,
"Define max Qty",最大数量の定義,,
Delay,遅延,,
"Deliver to customer",顧客に納入する,,
"Deliver to customer is not set.",お客様への配送が設定されていません,,
Deliveries,搬送,,
"Deliveries Cancelled",搬送取消済,,
"Deliveries Details",搬送詳細,,
"Deliveries History",搬送履歴,,
"Deliveries to prepare",準備のための配送,,
"Delivery delay (days)","配送遅延 (日数)",,
"Delivery for trial sale",試験販売のための納品,,
"Delivery number",配送No.,,
"Delivery stock move",搬送在庫移動,,
"Deported stock location",搬出された在庫場所,,
Description,説明,,
Detail,詳細,,
"Detail line(s) not inside a parcel/pallet",区画/パレット内にない詳細線分,,
"Detailed stock",詳細在庫,,
Details,詳細,,
"Details stock location lines",在庫保管場所明細の詳細,,
"Dimensions (cm)","寸法 (cm)",,
"Display accounting value in location financial data printing",事業所財務データ印刷における会計値の表示,,
"Display available tracking numbers",利用可能な追跡No.の表示,,
"Display average price in printing",印刷時に平均価格を表示する,,
"Display barcode on Picking printing",ピッキング印刷時にバーコードを表示する,,
"Display customer code on picking printing",ピッキング印刷時にカスタマコードを表示する,,
"Display external ref. on certificate of conformity printing",外部参照を表示します。適合証明書印刷,,
"Display line details on printing",印刷時に行の詳細を表示する,,
"Display order reference and order date",受注参照と受注日の表示,,
