key,message,comment,context
"<b>Tags:</b> $user: Current user, $date: Today's date, $time: Current time",$time:現在の時刻,,
AND,,,
Action,アクション,,
"Action builder",アクションビルダ,,
"Action builders",アクションビルダー,,
Actions,アクション,,
"Activate the hand tool",ハンドツールをアクティブにする,,
Aggregate,集合,,
"Aggregate On",集約On,,
"Aggregate On type",集約のタイプ,,
"Aggregate date type",集計日タイプ,,
Alert,アラート,,
"Alert or Blocking condition",警告またはブロック状態,,
"App builder",アプリビルダー,,
"App builders",アプリビルダー,,
"App name",アプリケーション,,
"Append end node",ノードの追加,,
"Append intermediate node",中間ノードを追加,,
"Apply if",次の場合に適用,,
Area,面積,,
"Assign value to",値の割り当て先,,
BPM,,,
Background,背景,,
Bar,横棒,,
"Base model",基本モデル,,
Blocking,ブロッキング,,
Boolean,ブール,,
"Bpmn xml","BPMN XMLファイル",,
Button,ボタン,,
"Button title",ボタンのタイトル,,
"Can Collapse",折りたたみ可能,,
"Chart builder",グラフ作成ツール,,
"Chart builders",チャート作成者,,
"Chart type",グラフの種類,,
ChartBuilder.Group,グループ,,
"Choose App name",アプリケーション名を選択,,
Code,コード,,
"Collapse if",次の場合に折りたたむ,,
Colspan,コルスパン,,
Condition,条件,,
Conditions,条件,,
Configuration,構成,,
"Connect using transition",トランジションを使用して接続,,
Context,コンテキスト,,
Create,作成,,
"Create end node",終了ノードを作成,,
"Create intermediate node",中間ノードを作成,,
"Create start node",開始ノードを作成,,
Custom,カスタム,,
"Custom Field",カスタムフィールド,,
"Custom Model",カスタムモデル,,
"Custom field",カスタムフィールド,,
"Custom fields",カスタムフィールド,,
"Custom model",カスタムモデル,,
"Custom models",カスタムモデル,,
Dashboard,ダッシュボード,,
"Dashboard builder",ダッシュボードビルダ,,
"Dashboard builders",ダッシュボード・ビルダー,,
"Dashlet builder",ダッシュレットビルダ,,
"Dashlet builder list",ダッシュレットビルダリスト,,
"Dashlet builders",ダッシュレットビルダー,,
"Data file",データファイル,,
Date,日付,,
Datetime,日付,,
Day,日,,
Decimal,10進,,
"Default Value",デフォルト値,,
"Depends on",依存,,
Description,説明,,
Display,ディスプレイ,,
"Display message",メッセージを表示する,,
"Display type",表示タイプ,,
"Do you want to reset workflow ?",ワークフローをリセットしますか?,,
Domain,ドメイン,,
Donut,ドーナツ,,
Dummy,ダミー,,
"Edit Node",ノードを編集,,
"Edit Transition",トランジションを編集,,
"Edit before send",送信前に編集,,
Email,Eメール,,
"End node",終了ノード,,
"Existing menu",既存メニュー,,
Export,Export,,
Extra,追加,,
Field,フィールド,,
"Field for 'My menu'",私のメニューのフィールド,,
"Field options",フィールドオプション,,
Fields,フィールド,,
Filter,フィルタ,,
Filters,フィルタ,,
"First group by",最初のグループ,,
From,開始日,,
Funnel,じょうご,,
Gauge,ゲージ,,
"Generated Actions",生成されたアクション,,
"Generated app",生成されたアプリケーション,,
Groovy,Groovyキー,,
"Group By",グループ化,,
"Group date type",グループの日付の種類,,
"Group on type",タイプでグループ化,,
Groups,グループ,,
Help,ヘルプ,,
"Hidden In Grid",グリッド内の非表示,,
"Hidden menu",非表示メニュー,,
"Horizontal bar",水平バー,,
Icon,アイコン,,
If,条件,,
If-module,IFモジュール,,
Image,イメージ,,
Import,Import,,
"Import BPM",BPMのImport,,
"Import log",ログのImport,,
Incoming,着信,,
Integer,整数,,
"Is Json Relational Field","Is Json Relational Field (Jsonリレーショナル・フィールド)",,
"Is json",jsonである,,
"Is parameter",Isパラメータ,,
"Is wkf",wkfである,,
Javascript,Javascript,,
Json,,,
"Json Field",Jsonフィールド,,
"Json Many To Many","Json Many To Many (Json多対多)",,
"Json Many To One","Json Many To 1 (Json多対1)",,
"Json One To Many","Json One to Many (1対多)",,
"Left menu",左メニュー,,
Line,,,
Link,リンク,,
"Logic operator",論理演算子,,
"Many To Many",多対多,,
"Many To One",多対1,,
"Max Size",最大サイズ,,
"Menu action",メニューアクション,,
"Menu builder",メニュービルダ,,
"Menu builders",メニュービルダー,,
MenuBuilder.Order,オーダー,,
Message,メッセージ,,
"Message on alert or blocking",警告またはブロック中のメッセージ,,
"Message on success",成功時のメッセージ,,
"Meta Model",メタモデル,,
"Meta module",メタモジュール,,
MetaMenu,メタメニュー,,
"Min Size","最小サイズ (Min Size)",,
"Mobile menu",モバイルメニュー,,
Model,モデル,,
Module,モジュール,,
Month,月,,
Name,名称,,
"Name Column","[名前] 列",,
"Name Field",名前フィールド,,
"Name must not contains space",名前にスペースを含めることはできません,,
"Nav Select",ナビゲーション選択,,
"Nb of passes",パスの数,,
"Nb of passes per status",ステータスごとのパス数,,
Node,ノード,,
"Node type",ノードタイプ,,
Nodes,ノード,,
None,なし,,
OR,,,
Object,オブジェクト,,
"On Change",変更時,,
"On Click",クリック時,,
"On New",新規作成時,,
"On Save",保存時,,
"One To Many",1対多,,
"Only use this menu-item if the given expression is true.",指定した式がtrueの場合にのみ、このメニュー項目を使用します,,
"Only use this menu-item if the given module is installed.",このメニュー項目は、指定したモジュールがインストールされている場合にのみ使用してください,,
"Open record",レコードを開く,,
"Open workflow",ワークフローを開く,,
Operator,オペレータ,,
Outgoing,発信,,
Overview,概要,,
"Pagination limit",ページ区切りの制限,,
