key,message,comment,context
"+10 years",10年以上,,
"0 %",0%,,
"0-2 years",0~2年,,
"10 %",10%,,
"100 %",100%,,
"2-5 years",2~5年,,
"20 %",20%,,
"30 %",30%,,
"40 %",40%,,
"5-10 years",5~10年,,
"50 %",50%,,
"60 %",60%,,
"70 %",70%,,
"80 %",80%,,
"90 %",90%,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa-linkedin'href=' http://www.linkedin.com' target='_blank'/>",,
"A new employee form will be created. Do you confirm the creation ?",新しい従業員フォームが作成されます。作成を確認しましたか?,,
Accept/plan,承諾/プラン,,
Address,住所,,
"All applications",すべてのアプリケーション,,
"All trainings",すべてのトレーニング,,
"Application Information",アプリケーション情報,,
Applications,アプリケーション,,
"Applied job",適用されたジョブ,,
Appraisal,評価,,
"Appraisal cancelled",評価が取り消されました,,
"Appraisal draft",評価ドラフト,,
"Appraisal filters",評価フィルタ,,
"Appraisal realized",評価の実現,,
"Appraisal sent",評価が送信されました,,
"Appraisal template",評価テンプレート,,
"Appraisal templates",評価テンプレート,,
"Appraisal type",評価タイプ,,
"Appraisal types",評価タイプ,,
Appraisals,評価,,
Appreciation,感謝,,
"Availability from",からの可用性,,
"Business sectors",事業分野,,
Cadre,キャドル,,
Calendar,カレンダー,,
Cancel,キャンセル,,
Canceled,キャンセル済み,,
Cancelled,キャンセル済み,,
Categories,分類項目,,
Category,種別,,
Close,略歴を閉じる,,
"Close session",セッションを閉じる,,
Closed,クローズ,,
"Closed job offers",クローズドな求人,,
Code,コード,,
Company,会社,,
Completed,完了,,
"Completed trainings of all employees of a team",チームの全従業員の研修終了,,
Configuration,構成,,
Contact,連絡先,,
"Contact details",連絡先の詳細,,
Contract,契約,,
"Contract type",契約タイプ,,
Create,作成,,
"Create Appraisal(Select Employees)","評価の作成 (従業員の選択)",,
"Create Appraisals",評価の作成,,
"Create Appraisals(Select Employees)","評価の作成 (従業員の選択)",,
"Create a job application",ジョブアプリケーションを作成する,,
"Current applications",現在のアプリケーション,,
"Current job offers",現在の求人,,
Dashboard,ダッシュボード,,
"Date of application",申請年月日,,
Deadline,期限,,
Department,部署,,
Description,説明,,
Draft,ドラフト,,
"Education level",教育レベル,,
Email,Eメール,,
Employee,従業員,,
"Employee hired",従業員採用,,
"Employee registred",従業員登録,,
Employees,従業員,,
Events,行事,,
"Expected salary",期待給与,,
Experience,体験,,
"Experience skills",経験スキル,,
Fax,ファクス,,
"First name",名,,
"Fixed phone",固定電話,,
From,開始日,,
"From date",開始日,,
"Full name",フルネーム,,
Hire,ハイヤー,,
Hired,採用,,
"Hiring Stage",採用ステージ,,
"Hiring stage",採用段階,,
"Invalid dates. From date must be before to date.",日付が無効です。開始日は終了日より前でなければなりません,,
"Is template",テンプレート,,
"Job Application",ジョブアプリケーション,,
"Job Application Filters",ジョブ・アプリケーション・フィルタ,,
"Job Offer Information",求人情報,,
"Job Position Filters",役職職階フィルタ,,
"Job application",ジョブアプリケーション,,
"Job applications",ジョブ・アプリケーション,,
"Job description",ジョブの説明,,
"Job email",ジョブの電子メール,,
"Job position",役職,,
"Job positions",役職,,
"Job reference",ジョブリファレンス,,
"Job title",役職,,
"Last email sync id",最新の電子メール同期ID,,
"Last name",姓,,
"Level of education",教育レベル,,
"LinkedIn profile",LinkedInプロフィール,,
Location,所在地,,
"Mandatory training",必須のトレーニング,,
"Mobile phone",携帯電話,,
Month,月,,
"My completed appraisals",完了した評価,,
"My completed trainings",私の完了したトレーニング,,
"My traning filters",私の変換フィルター,,
"My upcoming appraisal",私の次回の評価,,
"My upcoming trainings",今後のトレーニング,,
Name,名称,,
"Nb Employee",従業員数,,
"Nb Hours",数時間,,
"Nb of open jobs",求人数,,
"Nb of people hired",雇用者数,,
"Nb of training hours per month",月あたりのトレーニング時間数,,
"Nb. hours per category",カテゴリーごとの時間,,
"Nb. hours per training",訓練時間,,
"Nb. of trained employee per category",カテゴリー別の訓練を受けた従業員数,,
"New appraisal",新しい評価,,
"Number of hours",時間数,,
"Number of registredred to the session",セッションに登録された数,,
Objectives,目的,,
"On hold",保留中,,
Open,開く,,
Opened,開いた,,
"Other skills",その他のスキル,,
Photo,写真,,
Planned,計画済,,
"Position Status",職階ステータス,,
"Primary Address",プライマリアドレス,,
"Profile wanted",プロファイルが必要です,,
Program,プログラム,,
"Proposed salary",提示給与,,
"Publication Date",発行日,,
Rating,定格,,
Realize,実現,,
"Reason not hired",採用されない理由,,
Recruitment,採用,,
"Referred by",参照者,,
"Register training",トレーニングの登録,,
Rejected,拒否,,
Requested,要求,,
"Required training",必要なトレーニング,,
Responsible,責任者,,
Reviewer,レビューア,,
Salary,給与,,
"Schedule Event",スケジュールイベント,,
Send,送信,,
Sent,送信済み,,
Sequence,シーケンス,,
Session,セッション,,
Skill,スキル,,
Skills,スキル,,
"Skills tag",Skillsタグ,,
Source,ソース,,
"Starting date",開始日,,
Status,ステータス,,
"Tag skill",タグスキル,,
"Tag skills",タグスキル,,
Technicien,テクニシャン,,
Title,タイトル,,
To,宛先,,
"To date",日付:至,,
Tools,ツール,,
Total,合計,,
Training,トレーニング,,
"Training Categories",トレーニング・カテゴリー,,
"Training Category",トレーニングカテゴリ,,
"Training Register",トレーニング登録,,
"Training completed",トレーニングの完了,,
"Training dashboard",トレーニングダッシュボード,,
"Training dates must be under training session date range.",研修日は、研修セッションの日付範囲内である必要があります,,
"Training per category",カテゴリー別研修,,
"Training register",研修名簿,,
"Training registers",研修名簿,,
"Training session",トレーニングセッション,,
"Training sessions",トレーニングセッション,,
"Training skills",トレーニングスキル,,
Trainings,トレーニング,,
"Type of appraisal",評価のタイプ,,
"Upcoming appraisal",今後の評価,,
"Upcoming appraisals of all employees of a team",チームの全従業員の今後の評価,,
"Upcoming trainings of all employees of a team",チームの全従業員の今後のトレーニング,,
"Work experience",業務経験,,
user@mydomain.com,user@mydomain.com,,
value:Appraisal,評価,,
value:Recruitment,採用,,
value:Training,トレーニング,,
